,polish,check,english,sentence,polish_html,english_html,sentence_html
28,irlandia,irlandia,ireland,"Wielkiej Brytanii, Irlandii czy Niemczech","<h4 style='color:rgb(0, 180, 250)'>irlandia</h4>    <p><i><h6>Wielkiej Brytanii, Irlandii czy Niemczech </h6></i></p>",<h3>ireland</h3>,"<p><i><h6>Wielkiej Brytanii, Irlandii czy Niemczech </h6></i></p>"
29,językowy,lingwistyczny,linguistic,"nie tylko do tego, żeby zaimponować małej grupie językowych nerdów,","<h4 style='color:rgb(0, 180, 250)'>językowy</h4>    <p><i><h6>nie tylko do tego, żeby zaimponować małej grupie językowych nerdów, </h6></i></p>",<h3>linguistic</h3>,"<p><i><h6>nie tylko do tego, żeby zaimponować małej grupie językowych nerdów, </h6></i></p>"
30,koniecznie,koniecznie,necessarily,to koniecznie oglądajcie ten odcinek do końca,"<h4 style='color:rgb(0, 180, 250)'>koniecznie</h4>    <p><i><h6>to koniecznie oglądajcie ten odcinek do końca </h6></i></p>",<h3>necessarily</h3>,<p><i><h6>to koniecznie oglądajcie ten odcinek do końca </h6></i></p>
31,koniugacja,koniugacja,conjugation, nauczyć deklinacji i koniugacji,"<h4 style='color:rgb(0, 180, 250)'>koniugacja</h4>    <p><i><h6> nauczyć deklinacji i koniugacji </h6></i></p>",<h3>conjugation</h3>,<p><i><h6> nauczyć deklinacji i koniugacji </h6></i></p>
32,końcówka,kończyć się,end/ending,i wychodzi to trzydzieści pięć końcówek,"<h4 style='color:rgb(0, 180, 250)'>końcówka</h4>    <p><i><h6>i wychodzi to trzydzieści pięć końcówek </h6></i></p>",<h3>end/ending</h3>,<p><i><h6>i wychodzi to trzydzieści pięć końcówek </h6></i></p>
33,kreska,linia,line/dash,"kropek, kresek i ogonków","<h4 style='color:rgb(0, 180, 250)'>kreska</h4>    <p><i><h6>kropek, kresek i ogonków </h6></i></p>",<h3>line/dash</h3>,"<p><i><h6>kropek, kresek i ogonków </h6></i></p>"
34,kropka,kropka,dot,"kropek, kresek i ogonków","<h4 style='color:rgb(0, 180, 250)'>kropka</h4>    <p><i><h6>kropek, kresek i ogonków </h6></i></p>",<h3>dot</h3>,"<p><i><h6>kropek, kresek i ogonków </h6></i></p>"
35,krótkoterminowy,niski,short-term,"i w każdym etapie wyznaczyć krótkoterminowe, realne cele","<h4 style='color:rgb(0, 180, 250)'>krótkoterminowy</h4>    <p><i><h6>i w każdym etapie wyznaczyć krótkoterminowe, realne cele </h6></i></p>",<h3>short-term</h3>,"<p><i><h6>i w każdym etapie wyznaczyć krótkoterminowe, realne cele </h6></i></p>"
36,kursant,stażysta,trainee,Idziemy przygotowywać się do spotkań z naszymi kursantami,"<h4 style='color:rgb(0, 180, 250)'>kursant</h4>    <p><i><h6>Idziemy przygotowywać się do spotkań z naszymi kursantami </h6></i></p>",<h3>trainee</h3>,<p><i><h6>Idziemy przygotowywać się do spotkań z naszymi kursantami </h6></i></p>
37,kłopot,kłopot,trouble,to nie sprawi wam to dużo kłopotów,"<h4 style='color:rgb(0, 180, 250)'>kłopot</h4>    <p><i><h6>to nie sprawi wam to dużo kłopotów </h6></i></p>",<h3>trouble</h3>,<p><i><h6>to nie sprawi wam to dużo kłopotów </h6></i></p>
38,liczba,numer,number,W liczbie mnogiej mamy dwa rodzaje,"<h4 style='color:rgb(0, 180, 250)'>liczba</h4>    <p><i><h6>W liczbie mnogiej mamy dwa rodzaje </h6></i></p>",<h3>number</h3>,<p><i><h6>W liczbie mnogiej mamy dwa rodzaje </h6></i></p>
39,liczebnik,liczbowy,numeral,"Drugi stereotyp to polskie liczebniki,","<h4 style='color:rgb(0, 180, 250)'>liczebnik</h4>    <p><i><h6>Drugi stereotyp to polskie liczebniki, </h6></i></p>",<h3>numeral</h3>,"<p><i><h6>Drugi stereotyp to polskie liczebniki, </h6></i></p>"
40,logiczny,logiczny,logical,"Ale tak naprawdę wszystkie końcówki są w logicznych układach,","<h4 style='color:rgb(0, 180, 250)'>logiczny</h4>    <p><i><h6>Ale tak naprawdę wszystkie końcówki są w logicznych układach, </h6></i></p>",<h3>logical</h3>,"<p><i><h6>Ale tak naprawdę wszystkie końcówki są w logicznych układach, </h6></i></p>"
41,miasteczko,miasto,town,założone przed wieloma laty polskie miasteczka i wsie,"<h4 style='color:rgb(0, 180, 250)'>miasteczko</h4>    <p><i><h6>założone przed wieloma laty polskie miasteczka i wsie </h6></i></p>",<h3>town</h3>,<p><i><h6>założone przed wieloma laty polskie miasteczka i wsie </h6></i></p>
42,mnogi,mnogi,plural,W liczbie mnogiej mamy dwa rodzaje,"<h4 style='color:rgb(0, 180, 250)'>mnogi</h4>    <p><i><h6>W liczbie mnogiej mamy dwa rodzaje </h6></i></p>",<h3>plural</h3>,<p><i><h6>W liczbie mnogiej mamy dwa rodzaje </h6></i></p>
43,nadejść,chodź,come,to ten moment może nigdy nie nadejść,"<h4 style='color:rgb(0, 180, 250)'>nadejść</h4>    <p><i><h6>to ten moment może nigdy nie nadejść </h6></i></p>",<h3>come</h3>,<p><i><h6>to ten moment może nigdy nie nadejść </h6></i></p>
44,negatywny,negatywny,negative,"Co zrobić, żeby nie dać się zniechęcić negatywnym reakcjom otoczenia","<h4 style='color:rgb(0, 180, 250)'>negatywny</h4>    <p><i><h6>Co zrobić, żeby nie dać się zniechęcić negatywnym reakcjom otoczenia </h6></i></p>",<h3>negative</h3>,"<p><i><h6>Co zrobić, żeby nie dać się zniechęcić negatywnym reakcjom otoczenia </h6></i></p>"
45,nerd,frajerem,nerd,"nie tylko do tego, żeby zaimponować małej grupie językowych nerdów,","<h4 style='color:rgb(0, 180, 250)'>nerd</h4>    <p><i><h6>nie tylko do tego, żeby zaimponować małej grupie językowych nerdów, </h6></i></p>",<h3>nerd</h3>,"<p><i><h6>nie tylko do tego, żeby zaimponować małej grupie językowych nerdów, </h6></i></p>"
46,niemcy,niemcy,germany,"Wielkiej Brytanii, Irlandii czy Niemczech","<h4 style='color:rgb(0, 180, 250)'>niemcy</h4>    <p><i><h6>Wielkiej Brytanii, Irlandii czy Niemczech </h6></i></p>",<h3>germany</h3>,"<p><i><h6>Wielkiej Brytanii, Irlandii czy Niemczech </h6></i></p>"
47,obcy,nieznajomy,stranger/alien,Niedawno obroniłam doktorat z nauczania języka polskiego jako obcego,"<h4 style='color:rgb(0, 180, 250)'>obcy</h4>    <p><i><h6>Niedawno obroniłam doktorat z nauczania języka polskiego jako obcego </h6></i></p>",<h3>stranger/alien</h3>,<p><i><h6>Niedawno obroniłam doktorat z nauczania języka polskiego jako obcego </h6></i></p>
48,obronić,bronić,to defend,Niedawno obroniłam doktorat z nauczania języka polskiego jako obcego,"<h4 style='color:rgb(0, 180, 250)'>obronić</h4>    <p><i><h6>Niedawno obroniłam doktorat z nauczania języka polskiego jako obcego </h6></i></p>",<h3>to defend</h3>,<p><i><h6>Niedawno obroniłam doktorat z nauczania języka polskiego jako obcego </h6></i></p>
49,odmiana,różnorodność,variety/conjugation,Odmiana rzeczowników,"<h4 style='color:rgb(0, 180, 250)'>odmiana</h4>    <p><i><h6>Odmiana rzeczowników </h6></i></p>",<h3>variety/conjugation</h3>,<p><i><h6>Odmiana rzeczowników </h6></i></p>
50,odpowiadać,odpowiadać,to reply/correspond,"dodać kilka liter, które odpowiadają tym typowym polskim","<h4 style='color:rgb(0, 180, 250)'>odpowiadać</h4>    <p><i><h6>dodać kilka liter, które odpowiadają tym typowym polskim </h6></i></p>",<h3>to reply/correspond</h3>,"<p><i><h6>dodać kilka liter, które odpowiadają tym typowym polskim </h6></i></p>"
51,odpowiedź,odpowiadać,an answer,że odpowiedź na te pytania brzmi: tak,"<h4 style='color:rgb(0, 180, 250)'>odpowiedź</h4>    <p><i><h6>że odpowiedź na te pytania brzmi: tak </h6></i></p>",<h3>an answer</h3>,<p><i><h6>że odpowiedź na te pytania brzmi: tak </h6></i></p>
52,ogonek,ogon,tail,"kropek, kresek i ogonków","<h4 style='color:rgb(0, 180, 250)'>ogonek</h4>    <p><i><h6>kropek, kresek i ogonków </h6></i></p>",<h3>tail</h3>,"<p><i><h6>kropek, kresek i ogonków </h6></i></p>"
53,ojczysty,rodzinny,native/mother,"Oczywiście to zależy, skąd pochodzisz i jaki jest twój język ojczysty","<h4 style='color:rgb(0, 180, 250)'>ojczysty</h4>    <p><i><h6>Oczywiście to zależy, skąd pochodzisz i jaki jest twój język ojczysty </h6></i></p>",<h3>native/mother</h3>,"<p><i><h6>Oczywiście to zależy, skąd pochodzisz i jaki jest twój język ojczysty </h6></i></p>"
54,okazja,możliwość,opportunity,"ale brakuje im okazji do tego, żeby podyskutować na tematy,","<h4 style='color:rgb(0, 180, 250)'>okazja</h4>    <p><i><h6>ale brakuje im okazji do tego, żeby podyskutować na tematy, </h6></i></p>",<h3>opportunity</h3>,"<p><i><h6>ale brakuje im okazji do tego, żeby podyskutować na tematy, </h6></i></p>"
55,okazywać się,okazać się,to turn out,"My też jesteśmy bardzo zdziwione, ale naprawdę okazuje się,","<h4 style='color:rgb(0, 180, 250)'>okazywać się</h4>    <p><i><h6>My też jesteśmy bardzo zdziwione, ale naprawdę okazuje się, </h6></i></p>",<h3>to turn out</h3>,"<p><i><h6>My też jesteśmy bardzo zdziwione, ale naprawdę okazuje się, </h6></i></p>"
56,opór,opór,resistance,i trud związany z przełamaniem swoich wewnętrznych oporów,"<h4 style='color:rgb(0, 180, 250)'>opór</h4>    <p><i><h6>i trud związany z przełamaniem swoich wewnętrznych oporów </h6></i></p>",<h3>resistance</h3>,<p><i><h6>i trud związany z przełamaniem swoich wewnętrznych oporów </h6></i></p>
57,oszaleć,zwariować,to go mad/crazy,Oszalałeś,"<h4 style='color:rgb(0, 180, 250)'>oszaleć</h4>    <p><i><h6>Oszalałeś </h6></i></p>",<h3>to go mad/crazy</h3>,<p><i><h6>Oszalałeś </h6></i></p>
58,otoczenie,okolica,surroundings,"Co zrobić, żeby nie dać się zniechęcić negatywnym reakcjom otoczenia","<h4 style='color:rgb(0, 180, 250)'>otoczenie</h4>    <p><i><h6>Co zrobić, żeby nie dać się zniechęcić negatywnym reakcjom otoczenia </h6></i></p>",<h3>surroundings</h3>,"<p><i><h6>Co zrobić, żeby nie dać się zniechęcić negatywnym reakcjom otoczenia </h6></i></p>"
59,otucha,zachęta,encouragement/reassurance,"to być może na początek szukacie jakiegoś pocieszenia, otuchy,","<h4 style='color:rgb(0, 180, 250)'>otucha</h4>    <p><i><h6>to być może na początek szukacie jakiegoś pocieszenia, otuchy, </h6></i></p>",<h3>encouragement/reassurance</h3>,"<p><i><h6>to być może na początek szukacie jakiegoś pocieszenia, otuchy, </h6></i></p>"
60,partner,partner,partner,partnerów i bliskich,"<h4 style='color:rgb(0, 180, 250)'>partner</h4>    <p><i><h6>partnerów i bliskich </h6></i></p>",<h3>partner</h3>,<p><i><h6>partnerów i bliskich </h6></i></p>
61,pasja,pasja,passion,który dzieli naszą wspólną pasję,"<h4 style='color:rgb(0, 180, 250)'>pasja</h4>    <p><i><h6>który dzieli naszą wspólną pasję </h6></i></p>",<h3>passion</h3>,<p><i><h6>który dzieli naszą wspólną pasję </h6></i></p>
62,perfekcja,doskonałość,perfection, Dążenie do perfekcji to wspaniała cecha,"<h4 style='color:rgb(0, 180, 250)'>perfekcja</h4>    <p><i><h6> Dążenie do perfekcji to wspaniała cecha </h6></i></p>",<h3>perfection</h3>,<p><i><h6> Dążenie do perfekcji to wspaniała cecha </h6></i></p>
63,planowanie,planowanie,planning,"Jeżeli potrzebujecie pomocy w planowaniu tego procesu,","<h4 style='color:rgb(0, 180, 250)'>planowanie</h4>    <p><i><h6>Jeżeli potrzebujecie pomocy w planowaniu tego procesu, </h6></i></p>",<h3>planning</h3>,"<p><i><h6>Jeżeli potrzebujecie pomocy w planowaniu tego procesu, </h6></i></p>"
64,pochodzić,pochodzić,to originate/come (from),"Oczywiście to zależy, skąd pochodzisz i jaki jest twój język ojczysty","<h4 style='color:rgb(0, 180, 250)'>pochodzić</h4>    <p><i><h6>Oczywiście to zależy, skąd pochodzisz i jaki jest twój język ojczysty </h6></i></p>",<h3>to originate/come (from)</h3>,"<p><i><h6>Oczywiście to zależy, skąd pochodzisz i jaki jest twój język ojczysty </h6></i></p>"
65,pocieszenie,komfort,consolation/comfort,"to być może na początek szukacie jakiegoś pocieszenia, otuchy,","<h4 style='color:rgb(0, 180, 250)'>pocieszenie</h4>    <p><i><h6>to być może na początek szukacie jakiegoś pocieszenia, otuchy, </h6></i></p>",<h3>consolation/comfort</h3>,"<p><i><h6>to być może na początek szukacie jakiegoś pocieszenia, otuchy, </h6></i></p>"
66,poczuć,czuć,to feel,kiedy poczujemy w swoim sercu:,"<h4 style='color:rgb(0, 180, 250)'>poczuć</h4>    <p><i><h6>kiedy poczujemy w swoim sercu: </h6></i></p>",<h3>to feel</h3>,<p><i><h6>kiedy poczujemy w swoim sercu: </h6></i></p>
67,podyskutować,omawiać,to discuss,"ale brakuje im okazji do tego, żeby podyskutować na tematy,","<h4 style='color:rgb(0, 180, 250)'>podyskutować</h4>    <p><i><h6>ale brakuje im okazji do tego, żeby podyskutować na tematy, </h6></i></p>",<h3>to discuss</h3>,"<p><i><h6>ale brakuje im okazji do tego, żeby podyskutować na tematy, </h6></i></p>"
68,podzielić,podzielić,to divide,Najlepiej ten cały proces podzielić na etapy,"<h4 style='color:rgb(0, 180, 250)'>podzielić</h4>    <p><i><h6>Najlepiej ten cały proces podzielić na etapy </h6></i></p>",<h3>to divide</h3>,<p><i><h6>Najlepiej ten cały proces podzielić na etapy </h6></i></p>
69,pogawędka,czat,chat/chitchat,w Kurytybie w Brazylii i utniecie sobie z nim pogawędkę po polsku,"<h4 style='color:rgb(0, 180, 250)'>pogawędka</h4>    <p><i><h6>w Kurytybie w Brazylii i utniecie sobie z nim pogawędkę po polsku </h6></i></p>",<h3>chat/chitchat</h3>,<p><i><h6>w Kurytybie w Brazylii i utniecie sobie z nim pogawędkę po polsku </h6></i></p>
70,pojawiać się,pojawić się,to appear,które pojawiają się w odcinkach Easy Polish,"<h4 style='color:rgb(0, 180, 250)'>pojawiać się</h4>    <p><i><h6>które pojawiają się w odcinkach Easy Polish </h6></i></p>",<h3>to appear</h3>,<p><i><h6>które pojawiają się w odcinkach Easy Polish </h6></i></p>
71,pokutować,cierpieć,to suffer/atone,"Pokutuje stereotyp, że najtrudniejsze w polskiej gramatyce są rzeczowniki","<h4 style='color:rgb(0, 180, 250)'>pokutować</h4>    <p><i><h6>Pokutuje stereotyp, że najtrudniejsze w polskiej gramatyce są rzeczowniki </h6></i></p>",<h3>to suffer/atone</h3>,"<p><i><h6>Pokutuje stereotyp, że najtrudniejsze w polskiej gramatyce są rzeczowniki </h6></i></p>"
72,pomysł,pomysł,idea,"Jeżeli wpadliście na ten pomysł,","<h4 style='color:rgb(0, 180, 250)'>pomysł</h4>    <p><i><h6>Jeżeli wpadliście na ten pomysł, </h6></i></p>",<h3>idea</h3>,"<p><i><h6>Jeżeli wpadliście na ten pomysł, </h6></i></p>"
73,pomęczyć,torturować,to torture, Możecie pomęczyć mnie,"<h4 style='color:rgb(0, 180, 250)'>pomęczyć</h4>    <p><i><h6> Możecie pomęczyć mnie </h6></i></p>",<h3>to torture</h3>,<p><i><h6> Możecie pomęczyć mnie </h6></i></p>
74,poprowadzić,przewodnik,to guide/lead,a Natalia poprowadzi jeden z nich,"<h4 style='color:rgb(0, 180, 250)'>poprowadzić</h4>    <p><i><h6>a Natalia poprowadzi jeden z nich </h6></i></p>",<h3>to guide/lead</h3>,<p><i><h6>a Natalia poprowadzi jeden z nich </h6></i></p>
75,porozmawiać,rozmowa,to talk,"a czasami do tego, żeby porozmawiać z drugim człowiekiem,","<h4 style='color:rgb(0, 180, 250)'>porozmawiać</h4>    <p><i><h6>a czasami do tego, żeby porozmawiać z drugim człowiekiem, </h6></i></p>",<h3>to talk</h3>,"<p><i><h6>a czasami do tego, żeby porozmawiać z drugim człowiekiem, </h6></i></p>"
76,porozumiewać się,komunikować się,to communicate,"Po pierwsze do tego, żeby porozumiewać się z ludźmi w Polsce","<h4 style='color:rgb(0, 180, 250)'>porozumiewać się</h4>    <p><i><h6>Po pierwsze do tego, żeby porozumiewać się z ludźmi w Polsce </h6></i></p>",<h3>to communicate</h3>,"<p><i><h6>Po pierwsze do tego, żeby porozumiewać się z ludźmi w Polsce </h6></i></p>"
77,postanawiać,podjąć decyzję,to decide,"Różne są powody, dla których ludzie postanawiają uczyć się polskiego","<h4 style='color:rgb(0, 180, 250)'>postanawiać</h4>    <p><i><h6>Różne są powody, dla których ludzie postanawiają uczyć się polskiego </h6></i></p>",<h3>to decide</h3>,"<p><i><h6>Różne są powody, dla których ludzie postanawiają uczyć się polskiego </h6></i></p>"
78,posługiwania się,używać,use of,że umiejętność posługiwania się językiem polskim przydaje się,"<h4 style='color:rgb(0, 180, 250)'>posługiwania się</h4>    <p><i><h6>że umiejętność posługiwania się językiem polskim przydaje się </h6></i></p>",<h3>use of</h3>,<p><i><h6>że umiejętność posługiwania się językiem polskim przydaje się </h6></i></p>
79,posługiwać się,używać,to use/operate,i osoba już będzie mogła posługiwać językiem polskim,"<h4 style='color:rgb(0, 180, 250)'>posługiwać się</h4>    <p><i><h6>i osoba już będzie mogła posługiwać językiem polskim </h6></i></p>",<h3>to use/operate</h3>,<p><i><h6>i osoba już będzie mogła posługiwać językiem polskim </h6></i></p>
80,powinieneś,powinieneś,you should,które powinniście wiedzieć na temat języka polskiego,"<h4 style='color:rgb(0, 180, 250)'>powinieneś</h4>    <p><i><h6>które powinniście wiedzieć na temat języka polskiego </h6></i></p>",<h3>you should</h3>,<p><i><h6>które powinniście wiedzieć na temat języka polskiego </h6></i></p>
