,polish
298,dzięki
299,dziękujemy
300,dziękuję
301,dążenie
302,długi
303,długich
304,długie
305,długo
306,długą
307,dłużej
308,dźwięk
309,dźwiękom
310,dźwięku
311,easy
312,easypolish
313,efektywnie
314,emigracja
315,emigracji
316,empatyczny
317,empatycznych
318,entuzjazm
319,entuzjazmu
320,etap
321,etapie
322,etapy
323,europa
324,europy
325,ewentualnie
326,fajnie
327,fajny
328,fajną
329,fan
330,fanami
331,ferie
332,ferii
333,film
334,filmik
335,filmikach
336,filmiku
337,filmu
338,firma
339,firmy
340,fiszka
341,fiszkami
342,fonetyczny
343,fonetycznym
344,formalnej
345,formalny
346,formalnych
347,formule
348,formuła
349,fryzjer
350,fryzjera
351,fryzura
352,fryzurę
353,funkcjonuja
354,funkcjonuje
355,future
356,gdy
357,gdzie
358,gdzieś
359,go
360,goals
361,godzina
362,godziny
363,godzinę
364,gorszej
365,gotowa
366,gotowi
367,gotowy
368,grafik
369,gramatyce
370,gramatyczne
371,gramatyczny
372,gramatyk
373,gramatyka
374,gramatyki
375,gramatykę
376,grono
377,grudniu
378,grudzień
379,grupa
380,grupie
381,grupę
382,grzeczniej
383,grzeczności
384,grzeczność
385,gwarantuja
386,gwarantują
387,góra
388,góry
389,głos
390,głowa
391,głowami
392,głowy
393,głupi
394,głupie
395,heee
396,herbata
397,herbatę
398,historia
399,historię
400,hiszpański
401,hiszpańskim
402,hiszpańsku
403,hmm
404,ich
405,idiom
406,idiomów
407,idzie
408,idziemy
409,ignorować
410,ignoruj
411,ile
412,im
413,imię
414,info@
415,info@easypolish
416,informacja
417,informacje
418,informacji
419,informacyjny
420,informacyjnym
421,inna
422,innego
423,inni
424,inny
425,innych
426,innym
427,innymi
428,instagrama
429,instagramie
430,intercity
431,internet
432,internetem
433,internetowej
434,intonacja
435,intonacji
436,intonację
437,irlandia
438,irlandii
439,istotne
440,istotny
441,iść
442,ja
443,jak
444,jaka
445,jakaś
446,jaki
447,jakich
448,jakichś
449,jakie
450,jakiegoś
451,jakiejś
452,jakieś
453,jakikolwiek
454,jakim
455,jakimś
456,jakiś
457,jako
458,jakości
459,jakość
460,jaką
461,jakąś
462,je
463,jechać
464,jeden
465,jedna
466,jednak
467,jednego
468,jednej
469,jedno
470,jednocześnie
471,jedny
472,jednym
473,jedzie
474,jedziecie
475,jej
476,jest
477,jestem
478,jesteś
479,jesteście
480,jesteśmy
481,jeszcze
482,jeżeli
483,jorku
484,justyna
485,jutro
486,już
487,język
488,języka
489,językiem
490,językowe
491,językowy
492,językowych
493,języku
494,języków
495,kalendarz
496,kalendarzu
497,kara
498,karę
499,kasa
500,kasami
501,kasie
502,kasy
503,katowicach
504,kawa
505,kawiarenek
506,kawiarenka
507,kawy
508,kawę
509,każdego
510,każdej
511,każdy
512,każdym
513,każdą
514,kiedy
515,kiedyś
516,kilka
517,kilku
518,kilometrów
519,kim
520,klasa
521,klasie
522,klasy
523,klasę
524,klikając
525,klikać
526,klub
527,klęska
528,klęski
529,kochany
530,kochanych
531,kod
532,kodu
533,kogo
534,kogoś
535,kolegami
536,kolei
537,kolej
538,koleja
539,koleje
540,kolejek
541,kolejne
542,kolejny
543,kolejnych
544,kolejnym
545,koleżanka
546,koleżanko
547,komputer
548,komu
549,komunikacja
550,komunikacji
551,komunikacyjny
552,komunikacyjnych
553,komunikowanie
554,komunikować
555,komórka
556,komórkach
557,koniec
558,koniecznie
559,koniugacja
560,koniugacji
561,konkretne
562,konkretny
563,konkrety
564,konstrukcja
565,konstrukcje
566,konstrukcji
567,konstrukcję
568,kontroler
569,kontrolerzy
570,kontroli
571,kontrolę
572,koło
573,końca
574,końcowe
575,końcowy
576,końcu
577,kończy
578,kończymy
579,kończyć
580,kończę
581,końcówek
582,końcówka
583,końcówki
584,kraj
585,krajach
586,kresek
587,kreska
588,kroczek
589,kroczki
590,kropek
591,kropka
592,krótki
593,krótko
594,krótkoterminowe
595,krótkoterminowy
596,krótsze
597,krótszy
598,książek
599,książka
600,księga
601,kto
602,ktoś
603,która
604,które
605,którego
606,której
607,który
608,których
609,którym
610,którzy
611,którą
612,kuchenny
613,kuchennych
614,kulturoznawczej
615,kupicie
616,kupiliście
617,kupimy
618,kupiony
619,kupić
620,kupować
621,kupujecie
622,kupujemy
623,kurs
624,kursach
625,kursant
626,kursantami
627,kursy
628,kursów
629,kurytybie
630,kusi
631,kusić
632,kłopot
633,kłopotów
634,lat
635,laty
636,lekcja
637,lekcje
638,lekko
639,leksykalne
640,leksykalny
641,lepiej
642,lepszej
643,lepszy
644,liczba
645,liczbie
646,liczby
647,liczebnik
648,liczebniki
649,liczny
650,licznych
651,linia
652,linii
653,link
654,linki
655,linkiem
656,lipcu
657,lipiec
658,lista
659,listę
660,liter
661,litera
662,litery
663,literę
664,live'a
665,logicznie
666,logiczny
667,logicznych
668,lokalne
669,lokalni
670,lokalny
671,lotniczy
672,lotniczych
673,lub
674,lubiane
675,lubiany
676,lubisz
677,ludzi
678,ludzie
679,ludziom
680,ludźmi
681,lusterkiem
682,lusterko
683,ma
684,macie
685,maila
686,maile
687,mailem
688,maili
689,mają
690,maksymalnie
691,mam
692,mamy
693,masz
694,materiał
695,materiału
696,mazowieckie
697,małe
698,małego
699,małej
700,mało
701,małopolskie
702,małpa
703,małpo
704,mały
705,małych
706,measurable
707,megafon
708,metoda
709,metodę
710,mi
711,miasta
712,miastami
713,miasteczka
714,miasteczko
715,miała
716,miałam
717,miało
718,miejsc
719,miejsca
720,miejscach
721,miejsce
722,miejscu
723,mierzalne
724,mierzalny
725,mierzyć
726,miesięcy
727,mieszkam
728,mieć
729,mieście
730,milion
731,milionów
732,mimo
733,minut
734,minuta
735,minąć
736,minęła
737,między
738,międzymiastowe
739,międzymiastowy
740,miłego
741,miłej
742,miły
743,miłych
744,mnie
745,mnogi
746,mnogiej
747,mnóstwo
748,mną
749,mocny
750,mocną
751,mogli
752,mogą
753,mogę
754,mogła
755,moich
756,moim
757,moja
758,mojego
759,mojej
760,moment
761,momenty
762,morze
763,morzem
764,może
765,możecie
766,możemy
767,możesz
768,możliwe
769,możliwy
770,można
771,musi
772,musiała
773,musicie
774,musieli
775,musimy
776,musić
777,my
778,myślę
779,mógł
780,mój
781,mówi
782,mówicie
783,mówiony
784,mówionym
785,mówisz
786,mówiąc
787,mówiących
788,mówić
789,na
790,nad
791,nadejść
792,nadzieja
793,nadzieją
794,nadzieję
795,nagracie
796,nagrać
797,nagrywamy
798,nagrywanie
799,nagrywać
800,najbardziej
801,najczęściej
802,najgorzej
803,najlepiej
804,najlepsze
805,najlepszy
806,najpierw
807,najpopularniejsze
808,najpóźniej
809,najserdeczniejsze
810,najserdeczniejszy
811,najtrudniej
812,najtrudniejsze
813,najtrudniejszych
814,najtrudniejszą
815,najważniejsze
816,najważniejszy
817,największy
818,największymi
819,najść
820,nakłaniają
821,nakłaniać
822,należy
823,nam
824,nami
825,napisane
826,napisany
827,napisać
828,napiszcie
829,napić
830,napoje
831,naprawdę
832,naprzeciwko
833,napój
834,narciarski
835,narodzenie
836,nas
837,nasi
838,następnego
839,następny
840,nasz
841,nasza
842,nasze
843,naszego
844,naszej
845,naszych
846,naszym
847,naszymi
848,naszą
849,naszła
850,natalia
851,natkniecie
852,natknąć się
853,natomiast
854,nauce
855,nauczania
856,nauczanie
857,nauczaniu
858,nauczenie
859,nauczycie
860,nauczymy
861,nauczyć
862,nauczę
863,nauka
864,nauki
865,naukę
866,nawet
867,nazwisko
868,nazywa
869,nazywają
870,nazywać
871,negatywny
872,negatywnym
873,nerd
874,nerdów
875,netfliksie
876,netflixie
877,nic
878,nich
879,nie
880,niedaleko
881,niedawno
882,niedługo
883,niego
884,niej
885,niekoniecznie
886,niektóre
887,niektórych
888,niektórym
889,niektórymi
890,niemcy
891,niemczech
892,nieotwarty
893,nieotwartych
894,niepełnosprawnościami
895,niepełnosprawność
896,niespodziewane
897,niespodziewany
898,niestety
899,niewyraźne
900,niewyraźny
901,nigdy
902,nikogo
903,nikt
904,nim
905,nimi
906,niż
907,no
908,noc
909,nodze
910,nowe
911,nowego
912,nowojorskiego
913,nowojorskim
914,nowy
915,nowych
916,nowym
917,nową
918,numer
919,numerek
920,numerki
921,numerze
922,obcego
923,obcy
924,obcych
925,obcym
926,obejrzeć
927,obiad
928,obiecujemy
929,obiecywać
930,obietnica
931,obietnicę
932,oboczności
933,oboczność
934,obostrzenia
935,obostrzenie
936,obronić
937,obroniłam
938,obsługiwać
939,obsługują
940,obóz
941,ochota
942,ochoty
943,oczach
944,oczywiste
945,oczywisty
946,oczywiście
947,od
948,odbywa
949,odbywać
950,odcinek
951,odcinka
952,odcinkach
953,odcinki
954,odcinkiem
955,odcinku
956,odcinków
957,odjazd
958,odjazdów
959,odjechać
960,odjedzie
961,odjeżdża
962,odmiana
963,odnosi
964,odnosić
965,odpisać
966,odpiszesz
967,odpiszę
968,odpowiadają
969,odpowiadanie
970,odpowiadać
971,odpowiedni
972,odpowiednie
973,odpowiednim
974,odpowiednią
975,odpowiedzieć
976,odpowiedź
977,odpowiemy
978,odwiedzili
979,odwiedzić
980,odzyskam
981,odzyskać
982,oferować
983,oferował
984,oglądacie
985,oglądajcie
986,oglądają
987,oglądam
988,oglądać
989,ogonek
990,ogonków
991,ogóle
992,ojczysty
993,ojczystym
994,okazja
995,okazji
996,okazuje
997,okazywanie
998,okazywaniu
999,okazywać
1000,okazywać się
1001,okej
1002,okienko
1003,okienku
1004,oknie
1005,okno
1006,oko
1007,okres
1008,okresu
1009,określają
1010,określać
1011,on
1012,one
1013,opanować
1014,opanujecie
1015,oparłyśmy
1016,opcja
1017,opcji
1018,opcję
1019,opisie
1020,opisują
1021,oporów
1022,opowiedzieć
1023,oprzeć
1024,oprócz
1025,opublikować
1026,opór
1027,opóźnienia
1028,opóźnienie
1029,opłaca
1030,opłacać
1031,org
1032,orzeczenia
1033,orzeczenie
1034,osadzone
1035,osadzony
1036,osiem
1037,osiemnastej
1038,osiągalne
1039,osiągalny
1040,osiągać
1041,osiągnięcia
1042,osiągnięcie
1043,osiągnięciu
1044,osiągnąć
1045,osiągnęli
1046,osoba
1047,osobom
1048,osoby
1049,osobą
1050,ostatni
1051,ostatnie
1052,ostatniej
1053,ostatnio
1054,ostrość
1055,oszalałeś
1056,oszaleć
1057,osób
1058,otoczenia
1059,otoczenie
1060,otucha
1061,otuchy
1062,otwarte
1063,otwartych
1064,oznacza
1065,oznaczać
1066,oznaczone
1067,oznaczony
1068,oznajmiając
1069,oznajmiający
1070,oznajmujące
1071,oznajmującym
1072,pa
1073,pamiętacie
1074,pamiętajcie
1075,pamiętasz
1076,pamiętać
1077,pana
1078,pani
1079,para
1080,parach
1081,partia
1082,partię
1083,partner
1084,partnera
1085,partnerka
1086,partnerki
1087,partnerkę
1088,partnerów
1089,parę
1090,pasażer
1091,pasażera
1092,pasażerami
1093,pasja
1094,pasję
1095,patronów
1096,patrzcie
1097,patrzeć
1098,państwowy
1099,państwowych
1100,października
1101,pedagogicznej
1102,perfect
1103,perfekcja
1104,perfekcji
1105,peron
1106,peronie
1107,peronu
1108,pewnie
1109,pewno
1110,pieniądz
1111,pieniędzy
1112,pierwsza
1113,pierwsze
1114,pierwszej
1115,pierwszy
1116,pierwszych
1117,pierwszą
1118,pisać
1119,pięknie
1120,piętnaście
1121,pięć
1122,pkp
1123,plan
1124,planowanie
1125,planowaniu
1126,planować
1127,planujecie
1128,planujemy
1129,plany
1130,po
1131,po prostu
1132,pochodzisz
1133,pochodzić
1134,pochodzę
1135,pocieszenia
1136,pocieszenie
1137,pociąg
1138,pociągach
1139,pociągami
1140,pociągiem
1141,pociągu
1142,poczekalni
1143,poczekalnia
1144,poczekać
1145,poczujemy
1146,poczuć
1147,poczytajcie
1148,początek
1149,początku
1150,pod
1151,podaj
1152,podawany
1153,podawanym
1154,podać
1155,podała
1156,podałabyś
1157,podchodzicie
1158,podchodzić
1159,podczas
1160,podejmowali
1161,podejmować
1162,podjąć
1163,podjęła
1164,podkarpacki
1165,podkarpackie
1166,podmiot
1167,podmiotu
1168,podpisywać
1169,podróż
1170,podróżowania
1171,podróżowanie
1172,podróżować
1173,podróżujecie
1174,podróżują
1175,podróży
1176,podstawowe
1177,podstawowy
1178,podstawowych
1179,podyskutować
1180,podzielcie
1181,podzielić
1182,pogawędka
1183,pogawędkę
1184,pojawia
1185,pojawiają
1186,pojawiać
1187,pojawiać się
1188,pojawili
1189,pojedynczej
1190,pokazać
1191,pokutować
1192,pokutuje
1193,pola
1194,polacy
1195,polaków
1196,pole
1197,polecamy
1198,polecać
1199,polecenie
1200,polish
1201,polsce
1202,polska
1203,polski
1204,polskich
1205,polskie
1206,polskiego
1207,polskiej
1208,polskim
1209,polskimi
1210,polsku
1211,polską
1212,pominąć
1213,pomiędzy
1214,pomocy
1215,pomocą
1216,pomoże
1217,pomysł
1218,pomyślać
1219,pomyślałam
1220,pomóc
1221,pomęczyć
1222,poniedziałek
1223,poniedziałku
1224,ponieważ
1225,poodpisywałabyś
1226,popracować
1227,poprawiasz
1228,poprawiać
1229,poprosić
1230,poprowadzi
1231,poprowadzić
1232,poprowadzę
1233,porozmawiajmy
1234,porozmawiać
1235,porozumiewać
1236,porozumiewać się
1237,porządnie
1238,pospać
1239,pospała
1240,postanawiają
1241,postanawiać
1242,postanowiłeś
1243,postaramy
1244,postarać
1245,postawić
1246,poszukiwanie
1247,poszukiwaniu
1248,posłuchajcie
1249,posługiwania
1250,posługiwać
1251,potem
1252,potrafić
1253,potrafię
1254,potrzeb
1255,potrzeba
1256,potrzebne
1257,potrzebny
1258,potrzebować
1259,potrzebuje
1260,potrzebujecie
1261,potrzeby
1262,potrzymaj
1263,potrzymać
1264,powiecie
1265,powiedz
1266,powiedzcie
1267,powiedziałeś
1268,powiedzieć
1269,powiemy
1270,powieść
1271,powinnam
1272,powinniście
1273,powinniśmy
1274,powinny
1275,powody
1276,powtarzają
1277,powtarzać
1278,powtarzać się
1279,powód
1280,poza
1281,poziom
1282,poziomie
1283,poziomu
1284,poznajemy
1285,poznasz
1286,poznać
1287,poćwiczysz
1288,poćwiczyć
1289,połowa
1290,połowę
1291,położyć
1292,połączenia
1293,połączenie
1294,połączeń
1295,pożegnamy
1296,pożegnać
1297,praca
1298,pracować
1299,pracownik
1300,pracowników
1301,pracy
1302,pracę
1303,pragną
1304,pragnąć
1305,praktyczne
1306,praktycznie
1307,praktyczny
1308,praktyka
1309,praktyki
1310,prank
1311,prawda
1312,prawdopodobne
1313,prawdopodobny
1314,prawie
1315,precyzyjny
1316,preferencja
1317,preferencji
1318,prezentować
1319,prezentujemy
1320,problem
1321,problemu
1322,proces
1323,procesie
1324,procesu
1325,projekt
1326,promocja
1327,promocjami
1328,promocji
1329,propozycja
1330,propozycję
1331,prosta
1332,prosto
1333,prostu
1334,proszę
1335,przebrnąć
1336,przecież
1337,przeczytam
1338,przeczytać
1339,przed
1340,przede
1341,przedziałowe
1342,przedziałowy
1343,przedziały
1344,przejmować
1345,przejmujcie
1346,przekonacie
1347,przekonać
1348,przekąska
1349,przekąskę
1350,przemieszczacie
1351,przemieszczać
1352,przemyślać
1353,przemyślałam
1354,przerabiać
1355,przerobić
1356,przerobiłam
1357,przesiadamy
1358,przesiadać
1359,przewozić
1360,przewozu
1361,przewoźnicy
1362,przewoźnik
1363,przewożenia
1364,przewożenie
1365,przewóz
1366,przez
1367,przełamaniem
1368,przełamać
1369,przodek
1370,przodkowie
1371,przy
1372,przybory
1373,przyborów
1374,przychodzisz
1375,przychodzić
1376,przychodzę
1377,przyda
1378,przydadzą
1379,przydaje
1380,przydatnego
1381,przydatny
1382,przydawać
1383,przydawać się
1384,przydać
1385,przydzielane
1386,przydzielany
1387,przydzielonego
1388,przyglądajcie
1389,przyglądać
1390,przygoda
1391,przygodę
1392,przygotowani
1393,przygotowany
1394,przygotować
1395,przygotowałam
1396,przygotowywać
1397,przygotowywać się
1398,przyjaciół
1399,przyjazd
1400,przyjazdów
1401,przyjechać
1402,przyjechałyśmy
1403,przyjedziecie
1404,przyjemności
1405,przyjemność
1406,przyjeżdża
1407,przyjść
1408,przykład
1409,przynajmniej
1410,przypadek
1411,przypadkiem
1412,przypadków
1413,przypięty
1414,przypiętą
1415,przypomina
1416,przypominać
1417,przystąpicie
1418,przystąpić
1419,przyszły
1420,przyszłym
1421,przysłowie
1422,przysłuchiwać
1423,przysługiwać
1424,przysługują
1425,przyznać
1426,próbować
1427,próbują
1428,próbuję
1429,punkt
1430,punktu
1431,punktualność
1432,punkty
1433,pupil
1434,pupila
1435,pupilem
1436,pułapka
1437,pytające
1438,pytającego
1439,pytający
1440,pytających
1441,pytania
1442,pytanie
1443,pytasz
1444,pytań
1445,pół
1446,płacić
1447,płynnie
1448,qr
1449,rama
1450,ramach
1451,raz
1452,razie
1453,razu
1454,raźniej
1455,reakcja
1456,reakcje
1457,reakcjom
1458,reakcję
1459,realistyczne
1460,realistyczny
1461,realizować
1462,realne
1463,realnie
1464,realny
1465,region
1466,regionalne
1467,regionalny
1468,regionalnych
1469,regionalnym
1470,regionami
1471,regularnej
1472,regularnie
1473,regularność
1474,regularny
1475,relacja
1476,relację
1477,relevant
1478,restauracja
1479,restauracji
1480,restauracyjne
1481,restauracyjnego
1482,restauracyjny
1483,reszta
1484,resztą
1485,robić
1486,rodzaj
1487,rodzaje
1488,rodzaju
1489,rodzina
1490,rok
1491,roku
1492,rosja
1493,rosji
1494,rower
1495,roweru
1496,rowerów
1497,rozczarować
1498,rozczarowałam
1499,rozglądajcie
1500,rozglądać
1501,rozkazującego
1502,rozkazujący
1503,rozmawiamy
1504,rozmawiasz
1505,rozmawiać
1506,rozmówca
1507,rozmówcy
1508,rozpisane
1509,rozpisany
1510,rozstrzygający
1511,rozstrzygających
1512,rozstrzygającym
1513,rozumiecie
1514,rozumieją
1515,rozumiem
1516,rozumieć
1517,rozwinąć
1518,rozwiązanie
1519,rozwiązań
1520,ruszamy
1521,ruszać
1522,rzecz
1523,rzeczach
1524,rzeczownik
1525,rzeczowniki
1526,rzeczowników
1527,rzeczy
1528,rzeczywiście
1529,rzeczą
1530,rządek
1531,rządkach
1532,również
1533,różne
1534,różny
1535,różnych
1536,różnymi
1537,sam
1538,sama
1539,samego
1540,sami
1541,samo
1542,samolot
1543,samolotach
1544,samym
1545,scenariusz
1546,sczytać
1547,sen
1548,serce
1549,sercu
1550,serdecznie
1551,serial
1552,should
1553,siadłam
1554,siebie
1555,siedem
1556,siedemnastej
1557,siedzeniami
1558,siedzenie
1559,siedzieć
1560,siedzą
1561,siedzącego
1562,siedzący
1563,siąść
1564,się
1565,siła
1566,siły
1567,sklep
1568,sklepy
1569,skomplikowany
1570,skoro
1571,skorzystacie
1572,skorzystaliście
1573,skorzystać
1574,skrzynce
1575,skrzynka
1576,skrót
1577,skąd
1578,składam
1579,składania
1580,składać
1581,slangiem
1582,slangu
1583,smart
1584,soba
1585,sobie
1586,sobą
1587,spadły
1588,spałaś
1589,spało
1590,spaść
1591,specific
1592,specjalne
1593,specjalnie
1594,specjalny
1595,specjalnych
1596,spojrzeć
1597,spokojnie
1598,spotkamy
1599,spotkać
1600,spotkać się
1601,spotkań
1602,społeczności
1603,społeczność
1604,sprawa
1605,sprawdza
1606,sprawdzać
1607,sprawdzić
1608,sprawi
1609,sprawia
1610,sprawiać
1611,sprawić
1612,sprawę
1613,sprytny
1614,sprytnym
1615,sprzed
1616,spójrzcie
1617,spóźni
1618,spóźnicie
1619,spóźnić
1620,stacjonarnie
1621,stan
1622,stanach
1623,stanie
1624,stanów
1625,stara
1626,stare
1627,stary
1628,statyw
1629,stać
1630,stereotyp
1631,stoi
1632,stracisz
1633,stracić
1634,stres
1635,strona
1636,stronie
1637,stroną
1638,stronę
1639,student
1640,studentem
1641,stwierdzić
1642,stwierdziłyśmy
1643,styczniu
1644,stąd
1645,sukces
1646,sukcesu
1647,sumiennie
1648,super
1649,superzaproszenie
1650,swoich
1651,swoim
1652,swoje
1653,swojego
1654,swojej
1655,swoją
1656,swój
1657,syczący
1658,syczącym
1659,systematyczność
1660,sytuacja
1661,sytuacjach
1662,sytuacje
1663,sytuacji
1664,szczegółowe
1665,szczegółowy
1666,szczegóły
1667,szczerze
1668,szczyrku
1669,szeleszczący
1670,szeleszczącym
1671,sześć
1672,sześćdziesiąt
1673,szkoła
1674,szkoły
1675,szukacie
1676,szukając
1677,szukać
1678,szybciej
1679,szybko
1680,szyk
1681,są
1682,sąsiad
1683,sąsiadów
1684,sława
1685,sławą
1686,słowa
1687,słowiański
1688,słownictwa
1689,służbowe
1690,służbowy
1691,służymy
1692,służyć
1693,służą
1694,słychać
1695,słyszałam
1696,słyszeć
1697,słów
1698,słówek
1699,słówka
1700,słówko
1701,ta
1702,tablica
1703,tablicach
1704,tablicom
1705,tablicą
1706,tak
1707,tak samo
1708,taka
1709,taki
1710,takich
1711,takie
1712,takiego
1713,takiej
1714,takim
1715,taką
1716,także
1717,tam
1718,tani
1719,tanich
1720,tańsze
1721,tańszy
1722,te
1723,tego
1724,tej
1725,telefon
1726,telefonie
1727,temat
1728,tematy
1729,temu
1730,ten
1731,teoretycznie
1732,teraz
1733,termin
1734,też
1735,time-based
1736,to
1737,toaleta
1738,toalety
1739,toaletę
1740,tobie
1741,tor
1742,toru
1743,tożsamości
1744,tożsamość
1745,tradycyjny
1746,tradycyjnych
1747,trasa
1748,trasy
1749,trochę
1750,trud
1751,truda
1752,trudne
1753,trudnego
1754,trudny
1755,trwa
1756,trwać
1757,trwał
1758,tryb
1759,trybu
1760,trzeba
1761,trzech
1762,trzeci
1763,trzecia
1764,trzeciego
1765,trzy
1766,trzydzieści
1767,trzymać
1768,tu
1769,turysta
1770,tutaj
1771,twoich
1772,twoim
1773,twoimi
1774,twoją
1775,twój
1776,ty
1777,tych
1778,tydzień
1779,tygodnia
1780,tygodniu
1781,tyle
1782,tylko
1783,tym
1784,tymi
1785,typowy
1786,typowym
1787,tysiące
1788,tysiący
1789,tysięcy
1790,tę
1791,uczenia
1792,uczenie
1793,uczeń
1794,uczniem
1795,uczy
1796,uczycie
1797,uczymy
1798,uczyć
1799,uczyły
1800,uczą
1801,udaje
1802,udawać
1803,udać
1804,udać się
1805,udało
1806,udział
1807,ukontentowana
1808,ukontentowany
1809,ukraina
1810,ukrainie
1811,ukrainy
1812,układ
1813,układach
1814,umieją
1815,umiejętnościami
1816,umiejętność
1817,umiem
1818,umieć
1819,uniemożliwiają
1820,uniemożliwiać
1821,unikać
1822,uniknąć
1823,uniwersalna
1824,uniwersalny
1825,upiera
1826,upierać
1827,uporządkowany
1828,uporządkowaną
1829,uprawnia
1830,uprawniający
1831,uprawniać
1832,uprzejma
1833,uprzejmi
1834,uprzejmości
1835,uprzejmość
1836,uprzejmy
1837,uruchamia
1838,uruchamiać
1839,urządzenie
1840,urządzeniom
1841,usiądziemy
1842,usiąść
1843,ustalamy
1844,ustalać
1845,ustawiona
1846,ustawiony
1847,usystematyzować
1848,utniecie
1849,utrwalić
1850,uuuuu
1851,uwaga
1852,uwagi
1853,uwagę
1854,uważajcie
1855,uważać
1856,uwielbiam
1857,uwielbiać
1858,uzupełnić
1859,używa
1860,używajcie
1861,używamy
1862,używać
1863,użyć
1864,użyłam
1865,wagona
1866,wagonach
1867,wagonie
1868,wagonu
1869,wagony
1870,wagonów
1871,wakacja
1872,wakacjami
1873,wakacje
1874,walizka
1875,walizki
1876,walizkę
1877,wam
1878,wami
1879,wars
1880,warsami
1881,warsie
1882,warszawy
1883,warto
1884,warunek
1885,warunki
1886,was
1887,wasz
1888,wasza
1889,wasze
1890,waszego
1891,waszej
1892,waszych
