15,konkretny,konkretny,specific,Cele powinny być konkretne,"<h4 style='color:rgb(0, 180, 250)'>konkretny</h4>    <p><i><h6>Cele powinny być <span style='color:rgb(0, 180, 250)'>konkretne</span> </h6></i></p>",<h3>specific</h3>,"<p><i><h6>Cele powinny być <span style='color:rgb(0, 180, 250)'>konkretne</span> </h6></i></p>"
16,konkrety,specyfika,specifics,"No dobra, znamy już twój cel, teraz kalendarz i konkrety","<h4 style='color:rgb(0, 180, 250)'>konkrety</h4>    <p><i><h6>No dobra, znamy już twój cel, teraz kalendarz i <span style='color:rgb(0, 180, 250)'>konkrety</span> </h6></i></p>",<h3>specifics</h3>,"<p><i><h6>No dobra, znamy już twój cel, teraz kalendarz i <span style='color:rgb(0, 180, 250)'>konkrety</span> </h6></i></p>"
17,końcowy,finał,final, Warto też te punkty końcowe,"<h4 style='color:rgb(0, 180, 250)'>końcowy</h4>    <p><i><h6> Warto też te punkty <span style='color:rgb(0, 180, 250)'>końcowe</span> </h6></i></p>",<h3>final</h3>,"<p><i><h6> Warto też te punkty <span style='color:rgb(0, 180, 250)'>końcowe</span> </h6></i></p>"
18,kroczek,kroki,step,"To są to małe kroczki, które łatwo zrealizować","<h4 style='color:rgb(0, 180, 250)'>kroczek</h4>    <p><i><h6>To są to małe <span style='color:rgb(0, 180, 250)'>kroczki,</span> które łatwo zrealizować </h6></i></p>",<h3>step</h3>,"<p><i><h6>To są to małe <span style='color:rgb(0, 180, 250)'>kroczki,</span> które łatwo zrealizować </h6></i></p>"
19,kuchenny,kuchnia,kitchen (adj),"w którym prezentujemy Wam długą listę przyborów kuchennych,","<h4 style='color:rgb(0, 180, 250)'>kuchenny</h4>    <p><i><h6>w którym prezentujemy Wam długą listę przyborów <span style='color:rgb(0, 180, 250)'>kuchennych,</span> </h6></i></p>",<h3>kitchen (adj)</h3>,"<p><i><h6>w którym prezentujemy Wam długą listę przyborów <span style='color:rgb(0, 180, 250)'>kuchennych,</span> </h6></i></p>"
20,logicznie,logicznie,logically, brzmi logicznie,"<h4 style='color:rgb(0, 180, 250)'>logicznie</h4>    <p><i><h6> brzmi <span style='color:rgb(0, 180, 250)'>logicznie</span> </h6></i></p>",<h3>logically</h3>,"<p><i><h6> brzmi <span style='color:rgb(0, 180, 250)'>logicznie</span> </h6></i></p>"
21,lusterko,lustro,mirror,"czy obiecujemy sami sobie przed lusterkiem,","<h4 style='color:rgb(0, 180, 250)'>lusterko</h4>    <p><i><h6>czy obiecujemy sami sobie przed <span style='color:rgb(0, 180, 250)'>lusterkiem,</span> </h6></i></p>",<h3>mirror</h3>,"<p><i><h6>czy obiecujemy sami sobie przed <span style='color:rgb(0, 180, 250)'>lusterkiem,</span> </h6></i></p>"
22,mierzalny,wymierny,measurable,Cele powinny być mierzalne,"<h4 style='color:rgb(0, 180, 250)'>mierzalny</h4>    <p><i><h6>Cele powinny być <span style='color:rgb(0, 180, 250)'>mierzalne</span> </h6></i></p>",<h3>measurable</h3>,"<p><i><h6>Cele powinny być <span style='color:rgb(0, 180, 250)'>mierzalne</span> </h6></i></p>"
24,mnóstwo,wiele,lots of,"Zgromadziłam mnóstwo książek, przerobiłam wiele kursów i nic","<h4 style='color:rgb(0, 180, 250)'>mnóstwo</h4>    <p><i><h6>Zgromadziłam <span style='color:rgb(0, 180, 250)'>mnóstwo</span> książek, przerobiłam wiele kursów i nic </h6></i></p>",<h3>lots of</h3>,"<p><i><h6>Zgromadziłam <span style='color:rgb(0, 180, 250)'>mnóstwo</span> książek, przerobiłam wiele kursów i nic </h6></i></p>"
25,na bieżąco,aktualny,on a regular basis, Warto więc na bieżąco je weryfikować,"<h4 style='color:rgb(0, 180, 250)'>na bieżąco</h4>    <p><i><h6> Warto więc na <span style='color:rgb(0, 180, 250)'>bieżąco</span> je weryfikować </h6></i></p>",<h3>on a regular basis</h3>,"<p><i><h6> Warto więc na <span style='color:rgb(0, 180, 250)'>bieżąco</span> je weryfikować </h6></i></p>"
26,natknąć się,spotkanie,to come across/encounter,"każdy odcinek Easy Polish, ale natkniecie się na taki,","<h4 style='color:rgb(0, 180, 250)'>natknąć się</h4>    <p><i><h6>każdy odcinek Easy Polish, ale <span style='color:rgb(0, 180, 250)'>natkniecie</span> się na taki, </h6></i></p>",<h3>to come across/encounter</h3>,"<p><i><h6>każdy odcinek Easy Polish, ale <span style='color:rgb(0, 180, 250)'>natkniecie</span> się na taki, </h6></i></p>"
27,natomiast,"mając na uwadze, że",whereas,Natomiast umiejętność składania życzeń bożonarodzeniowych,"<h4 style='color:rgb(0, 180, 250)'>natomiast</h4>    <p><i><h6><span style='color:rgb(0, 180, 250)'>Natomiast</span> umiejętność składania życzeń bożonarodzeniowych </h6></i></p>",<h3>whereas</h3>,"<p><i><h6><span style='color:rgb(0, 180, 250)'>Natomiast</span> umiejętność składania życzeń bożonarodzeniowych </h6></i></p>"
28,nauczanie,nauczanie,teaching,Również w nauczaniu języków obcych,"<h4 style='color:rgb(0, 180, 250)'>nauczanie</h4>    <p><i><h6>Również w <span style='color:rgb(0, 180, 250)'>nauczaniu</span> języków obcych </h6></i></p>",<h3>teaching</h3>,"<p><i><h6>Również w <span style='color:rgb(0, 180, 250)'>nauczaniu</span> języków obcych </h6></i></p>"
29,nieotwarty,nieotwarty,unopened,"Aga, na naszej skrzynce jest dużo nieotwartych maili","<h4 style='color:rgb(0, 180, 250)'>nieotwarty</h4>    <p><i><h6>Aga, na naszej skrzynce jest dużo <span style='color:rgb(0, 180, 250)'>nieotwartych</span> maili </h6></i></p>",<h3>unopened</h3>,"<p><i><h6>Aga, na naszej skrzynce jest dużo <span style='color:rgb(0, 180, 250)'>nieotwartych</span> maili </h6></i></p>"
30,niespodziewany,nieoczekiwany,unexpected,"oboczności, jakieś niespodziewane sytuacje,","<h4 style='color:rgb(0, 180, 250)'>niespodziewany</h4>    <p><i><h6>oboczności, jakieś <span style='color:rgb(0, 180, 250)'>niespodziewane</span> sytuacje, </h6></i></p>",<h3>unexpected</h3>,"<p><i><h6>oboczności, jakieś <span style='color:rgb(0, 180, 250)'>niespodziewane</span> sytuacje, </h6></i></p>"
31,obejrzeć,widzieć,to watch,"że w kolejnym roku planujecie obejrzeć wszystkie odcinki Easy Polish,","<h4 style='color:rgb(0, 180, 250)'>obejrzeć</h4>    <p><i><h6>że w kolejnym roku planujecie <span style='color:rgb(0, 180, 250)'>obejrzeć</span> wszystkie odcinki Easy Polish, </h6></i></p>",<h3>to watch</h3>,"<p><i><h6>że w kolejnym roku planujecie <span style='color:rgb(0, 180, 250)'>obejrzeć</span> wszystkie odcinki Easy Polish, </h6></i></p>"
32,obiecywać,obietnica,to promise,"czy obiecujemy sami sobie przed lusterkiem,","<h4 style='color:rgb(0, 180, 250)'>obiecywać</h4>    <p><i><h6>czy <span style='color:rgb(0, 180, 250)'>obiecujemy</span> sami sobie przed lusterkiem, </h6></i></p>",<h3>to promise</h3>,"<p><i><h6>czy <span style='color:rgb(0, 180, 250)'>obiecujemy</span> sami sobie przed lusterkiem, </h6></i></p>"
33,obietnica,obietnica,promise,czy tak jak ja składam obietnicę na oczach naszych widzów,"<h4 style='color:rgb(0, 180, 250)'>obietnica</h4>    <p><i><h6>czy tak jak ja składam <span style='color:rgb(0, 180, 250)'>obietnicę</span> na oczach naszych widzów </h6></i></p>",<h3>promise</h3>,"<p><i><h6>czy tak jak ja składam <span style='color:rgb(0, 180, 250)'>obietnicę</span> na oczach naszych widzów </h6></i></p>"
34,oboczność,alternacja,alternation,"oboczności, jakieś niespodziewane sytuacje,","<h4 style='color:rgb(0, 180, 250)'>oboczność</h4>    <p><i><h6><span style='color:rgb(0, 180, 250)'>oboczności,</span> jakieś niespodziewane sytuacje, </h6></i></p>",<h3>alternation</h3>,"<p><i><h6><span style='color:rgb(0, 180, 250)'>oboczności,</span> jakieś niespodziewane sytuacje, </h6></i></p>"
35,odnosić się,odnieść się,to refer,"odnosi się do SPECIFIC, to znaczy,","<h4 style='color:rgb(0, 180, 250)'>odnosić się</h4>    <p><i><h6><span style='color:rgb(0, 180, 250)'>odnosi</span> się do SPECIFIC, to znaczy, </h6></i></p>",<h3>to refer</h3>,"<p><i><h6><span style='color:rgb(0, 180, 250)'>odnosi</span> się do SPECIFIC, to znaczy, </h6></i></p>"
36,odpisać,odpisać,to write back,"a jak odpiszesz naszym widzom na parę maili,","<h4 style='color:rgb(0, 180, 250)'>odpisać</h4>    <p><i><h6>a jak <span style='color:rgb(0, 180, 250)'>odpiszesz</span> naszym widzom na parę maili, </h6></i></p>",<h3>to write back</h3>,"<p><i><h6>a jak <span style='color:rgb(0, 180, 250)'>odpiszesz</span> naszym widzom na parę maili, </h6></i></p>"
37,oprzeć,oprzeć się,to base (on),"Nasze dzisiejsze wskazówki oparłyśmy o taką metodę,","<h4 style='color:rgb(0, 180, 250)'>oprzeć</h4>    <p><i><h6>Nasze dzisiejsze wskazówki <span style='color:rgb(0, 180, 250)'>oparłyśmy</span> o taką metodę, </h6></i></p>",<h3>to base (on)</h3>,"<p><i><h6>Nasze dzisiejsze wskazówki <span style='color:rgb(0, 180, 250)'>oparłyśmy</span> o taką metodę, </h6></i></p>"
38,osadzony,ustawić,embedded,Cele powinny być osadzone w czasie,"<h4 style='color:rgb(0, 180, 250)'>osadzony</h4>    <p><i><h6>Cele powinny być <span style='color:rgb(0, 180, 250)'>osadzone</span> w czasie </h6></i></p>",<h3>embedded</h3>,"<p><i><h6>Cele powinny być <span style='color:rgb(0, 180, 250)'>osadzone</span> w czasie </h6></i></p>"
39,osiągalny,dostępny,reachable/achievable,Cele powinny być osiągalne,"<h4 style='color:rgb(0, 180, 250)'>osiągalny</h4>    <p><i><h6>Cele powinny być <span style='color:rgb(0, 180, 250)'>osiągalne</span> </h6></i></p>",<h3>reachable/achievable</h3>,"<p><i><h6>Cele powinny być <span style='color:rgb(0, 180, 250)'>osiągalne</span> </h6></i></p>"
40,osiągać/osiągnąć,osiągnąć,to achieve,możliwe do osiągnięcia cele i te cele osiągać,"<h4 style='color:rgb(0, 180, 250)'>osiągać/osiągnąć</h4>    <p><i><h6>możliwe do osiągnięcia cele i te cele <span style='color:rgb(0, 180, 250)'>osiągać</span> </h6></i></p>",<h3>to achieve</h3>,"<p><i><h6>możliwe do osiągnięcia cele i te cele <span style='color:rgb(0, 180, 250)'>osiągać</span> </h6></i></p>"
41,osiągnięcie,osiągnięcie,achievement,możliwe do osiągnięcia cele i te cele osiągać,"<h4 style='color:rgb(0, 180, 250)'>osiągnięcie</h4>    <p><i><h6>możliwe do <span style='color:rgb(0, 180, 250)'>osiągnięcia</span> cele i te cele osiągać </h6></i></p>",<h3>achievement</h3>,"<p><i><h6>możliwe do <span style='color:rgb(0, 180, 250)'>osiągnięcia</span> cele i te cele osiągać </h6></i></p>"
42,partię materiału,impreza,batch of material,i jaką partię materiału będziesz w tym czasie przerabiać,"<h4 style='color:rgb(0, 180, 250)'>partię materiału</h4>    <p><i><h6>i jaką <span style='color:rgb(0, 180, 250)'>partię</span> materiału będziesz w tym czasie przerabiać </h6></i></p>",<h3>batch of material</h3>,"<p><i><h6>i jaką <span style='color:rgb(0, 180, 250)'>partię</span> materiału będziesz w tym czasie przerabiać </h6></i></p>"
43,pedagogiczny,pedagogiczny,pedagogical,To jest dowód mojej wielkiej pedagogicznej klęski,"<h4 style='color:rgb(0, 180, 250)'>pedagogiczny</h4>    <p><i><h6>To jest dowód mojej wielkiej <span style='color:rgb(0, 180, 250)'>pedagogicznej</span> klęski </h6></i></p>",<h3>pedagogical</h3>,"<p><i><h6>To jest dowód mojej wielkiej <span style='color:rgb(0, 180, 250)'>pedagogicznej</span> klęski </h6></i></p>"
44,podejmować/podjąć,podjąć,to undertake,"żebyśmy codziennie podejmowali wysiłek uczenia się,","<h4 style='color:rgb(0, 180, 250)'>podejmować/podjąć</h4>    <p><i><h6>żebyśmy codziennie <span style='color:rgb(0, 180, 250)'>podejmowali</span> wysiłek uczenia się, </h6></i></p>",<h3>to undertake</h3>,"<p><i><h6>żebyśmy codziennie <span style='color:rgb(0, 180, 250)'>podejmowali</span> wysiłek uczenia się, </h6></i></p>"
45,podpisywać/podpisać,podpisać,to sign/autograph,"poodpisywałabyś ludziom na te wiadomości, co","<h4 style='color:rgb(0, 180, 250)'>podpisywać/podpisać</h4>    <p><i><h6><span style='color:rgb(0, 180, 250)'>poodpisywałabyś</span> ludziom na te wiadomości, co </h6></i></p>",<h3>to sign/autograph</h3>,"<p><i><h6><span style='color:rgb(0, 180, 250)'>poodpisywałabyś</span> ludziom na te wiadomości, co </h6></i></p>"
46,pojedynczy,pojedynczy,single,"że każdy przypadek to trzy różne końcówki w liczbie pojedynczej,","<h4 style='color:rgb(0, 180, 250)'>pojedynczy</h4>    <p><i><h6>że każdy przypadek to trzy różne końcówki w liczbie <span style='color:rgb(0, 180, 250)'>pojedynczej,</span> </h6></i></p>",<h3>single</h3>,"<p><i><h6>że każdy przypadek to trzy różne końcówki w liczbie <span style='color:rgb(0, 180, 250)'>pojedynczej,</span> </h6></i></p>"
47,pominąć/pomijać,pomijać,to skip/omit,po prostu pominąć ten materiał i znaleźć jakiś ciekawszy dla Was,"<h4 style='color:rgb(0, 180, 250)'>pominąć/pomijać</h4>    <p><i><h6>po prostu <span style='color:rgb(0, 180, 250)'>pominąć</span> ten materiał i znaleźć jakiś ciekawszy dla Was </h6></i></p>",<h3>to skip/omit</h3>,"<p><i><h6>po prostu <span style='color:rgb(0, 180, 250)'>pominąć</span> ten materiał i znaleźć jakiś ciekawszy dla Was </h6></i></p>"
48,powieść,powieść,novel (book),"Tu mam fajną powieść, której akcja dzieje się w Nowym Jorku","<h4 style='color:rgb(0, 180, 250)'>powieść</h4>    <p><i><h6>Tu mam fajną <span style='color:rgb(0, 180, 250)'>powieść,</span> której akcja dzieje się w Nowym Jorku </h6></i></p>",<h3>novel (book)</h3>,"<p><i><h6>Tu mam fajną <span style='color:rgb(0, 180, 250)'>powieść,</span> której akcja dzieje się w Nowym Jorku </h6></i></p>"
49,praktyczny,praktyczny,practical,"to poćwiczysz te praktyczne konstrukcje,","<h4 style='color:rgb(0, 180, 250)'>praktyczny</h4>    <p><i><h6>to poćwiczysz te <span style='color:rgb(0, 180, 250)'>praktyczne</span> konstrukcje, </h6></i></p>",<h3>practical</h3>,"<p><i><h6>to poćwiczysz te <span style='color:rgb(0, 180, 250)'>praktyczne</span> konstrukcje, </h6></i></p>"
50,prawdopodobny,prawdopodobnie,likely,więc osiągnięcie tego celu jest naprawdę bardzo mało prawdopodobne,"<h4 style='color:rgb(0, 180, 250)'>prawdopodobny</h4>    <p><i><h6>więc osiągnięcie tego celu jest naprawdę bardzo mało <span style='color:rgb(0, 180, 250)'>prawdopodobne</span> </h6></i></p>",<h3>likely</h3>,"<p><i><h6>więc osiągnięcie tego celu jest naprawdę bardzo mało <span style='color:rgb(0, 180, 250)'>prawdopodobne</span> </h6></i></p>"
51,precyzyjny,dokładny,precise,nie jest zbyt precyzyjny,"<h4 style='color:rgb(0, 180, 250)'>precyzyjny</h4>    <p><i><h6>nie jest zbyt <span style='color:rgb(0, 180, 250)'>precyzyjny</span> </h6></i></p>",<h3>precise</h3>,"<p><i><h6>nie jest zbyt <span style='color:rgb(0, 180, 250)'>precyzyjny</span> </h6></i></p>"
52,prezentować,obecny,to present,"w którym prezentujemy Wam długą listę przyborów kuchennych,","<h4 style='color:rgb(0, 180, 250)'>prezentować</h4>    <p><i><h6>w którym <span style='color:rgb(0, 180, 250)'>prezentujemy</span> Wam długą listę przyborów kuchennych, </h6></i></p>",<h3>to present</h3>,"<p><i><h6>w którym <span style='color:rgb(0, 180, 250)'>prezentujemy</span> Wam długą listę przyborów kuchennych, </h6></i></p>"
53,propozycja,wniosek,proposal,"Drodzy widzowie, mam dla Was świetną propozycję","<h4 style='color:rgb(0, 180, 250)'>propozycja</h4>    <p><i><h6>Drodzy widzowie, mam dla Was świetną <span style='color:rgb(0, 180, 250)'>propozycję</span> </h6></i></p>",<h3>proposal</h3>,"<p><i><h6>Drodzy widzowie, mam dla Was świetną <span style='color:rgb(0, 180, 250)'>propozycję</span> </h6></i></p>"
54,przebrnąć,przebrnąć,to wade/get through,to lepiej niż próbować przebrnąć przez taki odcinek,"<h4 style='color:rgb(0, 180, 250)'>przebrnąć</h4>    <p><i><h6>to lepiej niż próbować <span style='color:rgb(0, 180, 250)'>przebrnąć</span> przez taki odcinek </h6></i></p>",<h3>to wade/get through</h3>,"<p><i><h6>to lepiej niż próbować <span style='color:rgb(0, 180, 250)'>przebrnąć</span> przez taki odcinek </h6></i></p>"
55,przedziały czasu,przedziały,time slots/periods,"kiedy w ich formule pojawiają się jakieś przedziały czasu,","<h4 style='color:rgb(0, 180, 250)'>przedziały czasu</h4>    <p><i><h6>kiedy w ich formule pojawiają się jakieś <span style='color:rgb(0, 180, 250)'>przedziały</span> czasu, </h6></i></p>",<h3>time slots/periods</h3>,"<p><i><h6>kiedy w ich formule pojawiają się jakieś <span style='color:rgb(0, 180, 250)'>przedziały</span> czasu, </h6></i></p>"
56,przemyślać/przemyśleć,przemyśleć,to think over,"Przemyślałam sprawę i myślę, że tak realnie","<h4 style='color:rgb(0, 180, 250)'>przemyślać/przemyśleć</h4>    <p><i><h6><span style='color:rgb(0, 180, 250)'>Przemyślałam</span> sprawę i myślę, że tak realnie </h6></i></p>",<h3>to think over</h3>,"<p><i><h6><span style='color:rgb(0, 180, 250)'>Przemyślałam</span> sprawę i myślę, że tak realnie </h6></i></p>"
57,przerabiać/przerobić,przerobić,to redo,"Zgromadziłam mnóstwo książek, przerobiłam wiele kursów i nic","<h4 style='color:rgb(0, 180, 250)'>przerabiać/przerobić</h4>    <p><i><h6>Zgromadziłam mnóstwo książek, <span style='color:rgb(0, 180, 250)'>przerobiłam</span> wiele kursów i nic </h6></i></p>",<h3>to redo</h3>,"<p><i><h6>Zgromadziłam mnóstwo książek, <span style='color:rgb(0, 180, 250)'>przerobiłam</span> wiele kursów i nic </h6></i></p>"
58,przybory,bieg,supplies/accessories,"w którym prezentujemy Wam długą listę przyborów kuchennych,","<h4 style='color:rgb(0, 180, 250)'>przybory</h4>    <p><i><h6>w którym prezentujemy Wam długą listę <span style='color:rgb(0, 180, 250)'>przyborów</span> kuchennych, </h6></i></p>",<h3>supplies/accessories</h3>,"<p><i><h6>w którym prezentujemy Wam długą listę <span style='color:rgb(0, 180, 250)'>przyborów</span> kuchennych, </h6></i></p>"
59,przychodzić,przychodzić,to come,"kiedy ty przychodzisz na kawę, a na Netfliksie pojawia się nowy serial","<h4 style='color:rgb(0, 180, 250)'>przychodzić</h4>    <p><i><h6>kiedy ty <span style='color:rgb(0, 180, 250)'>przychodzisz</span> na kawę, a na Netfliksie pojawia się nowy serial </h6></i></p>",<h3>to come</h3>,"<p><i><h6>kiedy ty <span style='color:rgb(0, 180, 250)'>przychodzisz</span> na kawę, a na Netfliksie pojawia się nowy serial </h6></i></p>"
60,przydać się,dryf,to come in handy,która przyda Wam się do podróżowania po Polsce pociągiem,"<h4 style='color:rgb(0, 180, 250)'>przydać się</h4>    <p><i><h6>która <span style='color:rgb(0, 180, 250)'>przyda</span> Wam się do podróżowania po Polsce pociągiem </h6></i></p>",<h3>to come in handy</h3>,"<p><i><h6>która <span style='color:rgb(0, 180, 250)'>przyda</span> Wam się do podróżowania po Polsce pociągiem </h6></i></p>"
61,przysłowie,przysłowie,proverb,"stare polskie przysłowie: ""trzeba mierzyć siły na zamiary""","<h4 style='color:rgb(0, 180, 250)'>przysłowie</h4>    <p><i><h6>stare polskie <span style='color:rgb(0, 180, 250)'>przysłowie:</span> ""trzeba mierzyć siły na zamiary"" </h6></i></p>",<h3>proverb</h3>,"<p><i><h6>stare polskie <span style='color:rgb(0, 180, 250)'>przysłowie:</span> ""trzeba mierzyć siły na zamiary"" </h6></i></p>"
62,przyznać/przyznawać,przyznawać,to admit,"Musicie przyznać, że taki plan: ""Chcę mówić płynnie po polsku""","<h4 style='color:rgb(0, 180, 250)'>przyznać/przyznawać</h4>    <p><i><h6>Musicie <span style='color:rgb(0, 180, 250)'>przyznać,</span> że taki plan: ""Chcę mówić płynnie po polsku"" </h6></i></p>",<h3>to admit</h3>,"<p><i><h6>Musicie <span style='color:rgb(0, 180, 250)'>przyznać,</span> że taki plan: ""Chcę mówić płynnie po polsku"" </h6></i></p>"
63,pułapka,pułapka,trap,"Ale uwaga, bo jest jeszcze jedna pułapka, w którą łatwo wpaść","<h4 style='color:rgb(0, 180, 250)'>pułapka</h4>    <p><i><h6>Ale uwaga, bo jest jeszcze jedna <span style='color:rgb(0, 180, 250)'>pułapka,</span> w którą łatwo wpaść </h6></i></p>",<h3>trap</h3>,"<p><i><h6>Ale uwaga, bo jest jeszcze jedna <span style='color:rgb(0, 180, 250)'>pułapka,</span> w którą łatwo wpaść </h6></i></p>"
64,płynnie,płynnie,smoothly,Chcę mówić płynnie po angielsku,"<h4 style='color:rgb(0, 180, 250)'>płynnie</h4>    <p><i><h6>Chcę mówić <span style='color:rgb(0, 180, 250)'>płynnie</span> po angielsku </h6></i></p>",<h3>smoothly</h3>,"<p><i><h6>Chcę mówić <span style='color:rgb(0, 180, 250)'>płynnie</span> po angielsku </h6></i></p>"
