,polish,check,english,sentence,polish_html,english_html,sentence_html
10,fryzura,fryzura,hairstyle,Jak długo będziesz jeszcze poprawiać fryzurę,"<h4 style='color:rgb(0, 180, 250)'>fryzura</h4>    <p><i><h6>Jak długo będziesz jeszcze poprawiać <span style='color:rgb(0, 180, 250)'>fryzurę</span> </h6></i></p>",<h3>hairstyle</h3>,"<p><i><h6>Jak długo będziesz jeszcze poprawiać <span style='color:rgb(0, 180, 250)'>fryzurę</span> </h6></i></p>"
11,gramatyczny,gramatyczny,grammatical,"gramatyczne i leksykalne,","<h4 style='color:rgb(0, 180, 250)'>gramatyczny</h4>    <p><i><h6><span style='color:rgb(0, 180, 250)'>gramatyczne</span> i leksykalne, </h6></i></p>",<h3>grammatical</h3>,"<p><i><h6><span style='color:rgb(0, 180, 250)'>gramatyczne</span> i leksykalne, </h6></i></p>"
12,grupa,grupa,group,"Czyli najpierw grupa podmiotu,","<h4 style='color:rgb(0, 180, 250)'>grupa</h4>    <p><i><h6>Czyli najpierw <span style='color:rgb(0, 180, 250)'>grupa</span> podmiotu, </h6></i></p>",<h3>group</h3>,"<p><i><h6>Czyli najpierw <span style='color:rgb(0, 180, 250)'>grupa</span> podmiotu, </h6></i></p>"
13,grzeczność,uprzejmość,civility,w okazywaniu grzeczności i uprzejmości,"<h4 style='color:rgb(0, 180, 250)'>grzeczność</h4>    <p><i><h6>w okazywaniu <span style='color:rgb(0, 180, 250)'>grzeczności</span> i uprzejmości </h6></i></p>",<h3>civility</h3>,"<p><i><h6>w okazywaniu <span style='color:rgb(0, 180, 250)'>grzeczności</span> i uprzejmości </h6></i></p>"
14,głupi,głupi,stupid,Co za głupie pytanie,"<h4 style='color:rgb(0, 180, 250)'>głupi</h4>    <p><i><h6>Co za <span style='color:rgb(0, 180, 250)'>głupie</span> pytanie </h6></i></p>",<h3>stupid</h3>,"<p><i><h6>Co za <span style='color:rgb(0, 180, 250)'>głupie</span> pytanie </h6></i></p>"
15,intonacja,intonacja,intonation,trochę zmienimy intonację,"<h4 style='color:rgb(0, 180, 250)'>intonacja</h4>    <p><i><h6>trochę zmienimy <span style='color:rgb(0, 180, 250)'>intonację</span> </h6></i></p>",<h3>intonation</h3>,"<p><i><h6>trochę zmienimy <span style='color:rgb(0, 180, 250)'>intonację</span> </h6></i></p>"
16,kolej,tory,turn/(your turn),"Teraz Wasza kolej na to,","<h4 style='color:rgb(0, 180, 250)'>kolej</h4>    <p><i><h6>Teraz Wasza <span style='color:rgb(0, 180, 250)'>kolej</span> na to, </h6></i></p>",<h3>turn/(your turn)</h3>,"<p><i><h6>Teraz Wasza <span style='color:rgb(0, 180, 250)'>kolej</span> na to, </h6></i></p>"
17,komunikowanie,przyległy,communication,"A przecież komunikowanie się to nic innego,","<h4 style='color:rgb(0, 180, 250)'>komunikowanie</h4>    <p><i><h6>A przecież <span style='color:rgb(0, 180, 250)'>komunikowanie</span> się to nic innego, </h6></i></p>",<h3>communication</h3>,"<p><i><h6>A przecież <span style='color:rgb(0, 180, 250)'>komunikowanie</span> się to nic innego, </h6></i></p>"
18,komunikować,porozumieć się,to communicate,żeby komunikować się z innymi ludźmi,"<h4 style='color:rgb(0, 180, 250)'>komunikować</h4>    <p><i><h6>żeby <span style='color:rgb(0, 180, 250)'>komunikować</span> się z innymi ludźmi </h6></i></p>",<h3>to communicate</h3>,"<p><i><h6>żeby <span style='color:rgb(0, 180, 250)'>komunikować</span> się z innymi ludźmi </h6></i></p>"
19,konstrukcja,budowa,construction,Jeżeli chodzi o konstrukcję,"<h4 style='color:rgb(0, 180, 250)'>konstrukcja</h4>    <p><i><h6>Jeżeli chodzi o <span style='color:rgb(0, 180, 250)'>konstrukcję</span> </h6></i></p>",<h3>construction</h3>,"<p><i><h6>Jeżeli chodzi o <span style='color:rgb(0, 180, 250)'>konstrukcję</span> </h6></i></p>"
20,krótki,niski,short,"na które możemy odpowiedzieć krótko ""tak"" lub ""nie"",","<h4 style='color:rgb(0, 180, 250)'>krótki</h4>    <p><i><h6>na które możemy odpowiedzieć <span style='color:rgb(0, 180, 250)'>krótko</span> ""tak"" lub ""nie"", </h6></i></p>",<h3>short</h3>,"<p><i><h6>na które możemy odpowiedzieć <span style='color:rgb(0, 180, 250)'>krótko</span> ""tak"" lub ""nie"", </h6></i></p>"
21,leksykalny,leksykalny,lexical,"gramatyczne i leksykalne,","<h4 style='color:rgb(0, 180, 250)'>leksykalny</h4>    <p><i><h6>gramatyczne i <span style='color:rgb(0, 180, 250)'>leksykalne,</span> </h6></i></p>",<h3>lexical</h3>,"<p><i><h6>gramatyczne i <span style='color:rgb(0, 180, 250)'>leksykalne,</span> </h6></i></p>"
22,małpa,małpa,monkey,Ty małpo,"<h4 style='color:rgb(0, 180, 250)'>małpa</h4>    <p><i><h6>Ty <span style='color:rgb(0, 180, 250)'>małpo</span> </h6></i></p>",<h3>monkey</h3>,"<p><i><h6>Ty <span style='color:rgb(0, 180, 250)'>małpo</span> </h6></i></p>"
23,minąć,przechodzić,to pass/waste,A Tobie jak minęła noc,"<h4 style='color:rgb(0, 180, 250)'>minąć</h4>    <p><i><h6>A Tobie jak <span style='color:rgb(0, 180, 250)'>minęła</span> noc </h6></i></p>",<h3>to pass/waste</h3>,"<p><i><h6>A Tobie jak <span style='color:rgb(0, 180, 250)'>minęła</span> noc </h6></i></p>"
24,morze,morze,sea,"że byłam nad morzem i było tak pięknie,","<h4 style='color:rgb(0, 180, 250)'>morze</h4>    <p><i><h6>że byłam nad <span style='color:rgb(0, 180, 250)'>morzem</span> i było tak pięknie, </h6></i></p>",<h3>sea</h3>,"<p><i><h6>że byłam nad <span style='color:rgb(0, 180, 250)'>morzem</span> i było tak pięknie, </h6></i></p>"
25,mówiony,mówiony,spoken,"Najczęściej używamy jej w języku mówionym,","<h4 style='color:rgb(0, 180, 250)'>mówiony</h4>    <p><i><h6>Najczęściej używamy jej w języku <span style='color:rgb(0, 180, 250)'>mówionym,</span> </h6></i></p>",<h3>spoken</h3>,"<p><i><h6>Najczęściej używamy jej w języku <span style='color:rgb(0, 180, 250)'>mówionym,</span> </h6></i></p>"
26,nagrywanie,nagranie,recording,"A czy wiemy, ile zajmie nam nagrywanie","<h4 style='color:rgb(0, 180, 250)'>nagrywanie</h4>    <p><i><h6>A czy wiemy, ile zajmie nam <span style='color:rgb(0, 180, 250)'>nagrywanie</span> </h6></i></p>",<h3>recording</h3>,"<p><i><h6>A czy wiemy, ile zajmie nam <span style='color:rgb(0, 180, 250)'>nagrywanie</span> </h6></i></p>"
27,nagrywać,nagrywać,to record,Czy my coś jutro nagrywamy,"<h4 style='color:rgb(0, 180, 250)'>nagrywać</h4>    <p><i><h6>Czy my coś jutro <span style='color:rgb(0, 180, 250)'>nagrywamy</span> </h6></i></p>",<h3>to record</h3>,"<p><i><h6>Czy my coś jutro <span style='color:rgb(0, 180, 250)'>nagrywamy</span> </h6></i></p>"
28,najczęściej,najczęściej,most often,"Najczęściej używamy jej w języku mówionym,","<h4 style='color:rgb(0, 180, 250)'>najczęściej</h4>    <p><i><h6><span style='color:rgb(0, 180, 250)'>Najczęściej</span> używamy jej w języku mówionym, </h6></i></p>",<h3>most often</h3>,"<p><i><h6><span style='color:rgb(0, 180, 250)'>Najczęściej</span> używamy jej w języku mówionym, </h6></i></p>"
29,najserdeczniejszy,najbardziej serdeczny,dearest,"Justyna, moja najserdeczniejsze, wspaniała koleżanko","<h4 style='color:rgb(0, 180, 250)'>najserdeczniejszy</h4>    <p><i><h6>Justyna, moja <span style='color:rgb(0, 180, 250)'>najserdeczniejsze,</span> wspaniała koleżanko </h6></i></p>",<h3>dearest</h3>,"<p><i><h6>Justyna, moja <span style='color:rgb(0, 180, 250)'>najserdeczniejsze,</span> wspaniała koleżanko </h6></i></p>"
30,należy,należy,belongs, Przede wszystkim należy unikać,"<h4 style='color:rgb(0, 180, 250)'>należy</h4>    <p><i><h6> Przede wszystkim <span style='color:rgb(0, 180, 250)'>należy</span> unikać </h6></i></p>",<h3>belongs</h3>,"<p><i><h6> Przede wszystkim <span style='color:rgb(0, 180, 250)'>należy</span> unikać </h6></i></p>"
31,narciarski,narty,ski, Narciarski,"<h4 style='color:rgb(0, 180, 250)'>narciarski</h4>    <p><i><h6> <span style='color:rgb(0, 180, 250)'>Narciarski</span> </h6></i></p>",<h3>ski</h3>,"<p><i><h6> <span style='color:rgb(0, 180, 250)'>Narciarski</span> </h6></i></p>"
32,obóz,obóz,camp,Zapisałam Antka na obóz,"<h4 style='color:rgb(0, 180, 250)'>obóz</h4>    <p><i><h6>Zapisałam Antka na <span style='color:rgb(0, 180, 250)'>obóz</span> </h6></i></p>",<h3>camp</h3>,"<p><i><h6>Zapisałam Antka na <span style='color:rgb(0, 180, 250)'>obóz</span> </h6></i></p>"
33,odwiedzić,odwiedzić,to visit,Pamiętasz jak nas odwiedzili,"<h4 style='color:rgb(0, 180, 250)'>odwiedzić</h4>    <p><i><h6>Pamiętasz jak nas <span style='color:rgb(0, 180, 250)'>odwiedzili</span> </h6></i></p>",<h3>to visit</h3>,"<p><i><h6>Pamiętasz jak nas <span style='color:rgb(0, 180, 250)'>odwiedzili</span> </h6></i></p>"
34,odzyskać,odzyskać,to regain,Może do tego czasu odzyskam już mój głos,"<h4 style='color:rgb(0, 180, 250)'>odzyskać</h4>    <p><i><h6>Może do tego czasu <span style='color:rgb(0, 180, 250)'>odzyskam</span> już mój głos </h6></i></p>",<h3>to regain</h3>,"<p><i><h6>Może do tego czasu <span style='color:rgb(0, 180, 250)'>odzyskam</span> już mój głos </h6></i></p>"
35,okazywanie,pokazać,to show,w okazywaniu grzeczności i uprzejmości,"<h4 style='color:rgb(0, 180, 250)'>okazywanie</h4>    <p><i><h6>w <span style='color:rgb(0, 180, 250)'>okazywaniu</span> grzeczności i uprzejmości </h6></i></p>",<h3>to show</h3>,"<p><i><h6>w <span style='color:rgb(0, 180, 250)'>okazywaniu</span> grzeczności i uprzejmości </h6></i></p>"
36,określać,definiować,to define/specify,"które określają podmiot,","<h4 style='color:rgb(0, 180, 250)'>określać</h4>    <p><i><h6>które <span style='color:rgb(0, 180, 250)'>określają</span> podmiot, </h6></i></p>",<h3>to define/specify</h3>,"<p><i><h6>które <span style='color:rgb(0, 180, 250)'>określają</span> podmiot, </h6></i></p>"
37,orzeczenie,osąd,judgment/decision,"a potem orzeczenie i wyrazy,","<h4 style='color:rgb(0, 180, 250)'>orzeczenie</h4>    <p><i><h6>a potem <span style='color:rgb(0, 180, 250)'>orzeczenie</span> i wyrazy, </h6></i></p>",<h3>judgment/decision</h3>,"<p><i><h6>a potem <span style='color:rgb(0, 180, 250)'>orzeczenie</span> i wyrazy, </h6></i></p>"
38,ostrość,ostrość,sharpness,Dlaczego ostrość nie jest ustawiona na mnie,"<h4 style='color:rgb(0, 180, 250)'>ostrość</h4>    <p><i><h6>Dlaczego <span style='color:rgb(0, 180, 250)'>ostrość</span> nie jest ustawiona na mnie </h6></i></p>",<h3>sharpness</h3>,"<p><i><h6>Dlaczego <span style='color:rgb(0, 180, 250)'>ostrość</span> nie jest ustawiona na mnie </h6></i></p>"
39,oznajmiając,oświadczając,declaring,jak w zdaniu oznajmiający,"<h4 style='color:rgb(0, 180, 250)'>oznajmiając</h4>    <p><i><h6>jak w zdaniu <span style='color:rgb(0, 180, 250)'>oznajmiający</span> </h6></i></p>",<h3>declaring</h3>,"<p><i><h6>jak w zdaniu <span style='color:rgb(0, 180, 250)'>oznajmiający</span> </h6></i></p>"
40,podać,dawać,to give,podała mi nową baterie,"<h4 style='color:rgb(0, 180, 250)'>podać</h4>    <p><i><h6><span style='color:rgb(0, 180, 250)'>podała</span> mi nową baterie </h6></i></p>",<h3>to give</h3>,"<p><i><h6><span style='color:rgb(0, 180, 250)'>podała</span> mi nową baterie </h6></i></p>"
41,podjąć,brać,to take/undertake,"będzie miała wrażenie, że sama podjęła decyzję,","<h4 style='color:rgb(0, 180, 250)'>podjąć</h4>    <p><i><h6>będzie miała wrażenie, że sama <span style='color:rgb(0, 180, 250)'>podjęła</span> decyzję, </h6></i></p>",<h3>to take/undertake</h3>,"<p><i><h6>będzie miała wrażenie, że sama <span style='color:rgb(0, 180, 250)'>podjęła</span> decyzję, </h6></i></p>"
42,podmiot,przedmiot,subject/(grammar),"Czyli najpierw grupa podmiotu,","<h4 style='color:rgb(0, 180, 250)'>podmiot</h4>    <p><i><h6>Czyli najpierw grupa <span style='color:rgb(0, 180, 250)'>podmiotu,</span> </h6></i></p>",<h3>subject/(grammar)</h3>,"<p><i><h6>Czyli najpierw grupa <span style='color:rgb(0, 180, 250)'>podmiotu,</span> </h6></i></p>"
43,polecenie,rekomendacje,recommendation,"albo nawet wydać polecenie służbowe,","<h4 style='color:rgb(0, 180, 250)'>polecenie</h4>    <p><i><h6>albo nawet wydać <span style='color:rgb(0, 180, 250)'>polecenie</span> służbowe, </h6></i></p>",<h3>recommendation</h3>,"<p><i><h6>albo nawet wydać <span style='color:rgb(0, 180, 250)'>polecenie</span> służbowe, </h6></i></p>"
44,poprawiać/poprawić,prawidłowy,to correct/improve,Po co znowu poprawiasz statyw,"<h4 style='color:rgb(0, 180, 250)'>poprawiać</h4>    <p><i><h6>Po co znowu <span style='color:rgb(0, 180, 250)'>poprawiasz</span> statyw </h6></i></p>",<h3>to correct</h3>,"<p><i><h6>Po co znowu <span style='color:rgb(0, 180, 250)'>poprawiasz</span> statyw </h6></i></p>"
45,pospać,sen,to sleep,Szczerze mówiąc jeszcze bym pospała,"<h4 style='color:rgb(0, 180, 250)'>pospać</h4>    <p><i><h6>Szczerze mówiąc jeszcze bym <span style='color:rgb(0, 180, 250)'>pospała</span> </h6></i></p>",<h3>to sleep</h3>,"<p><i><h6>Szczerze mówiąc jeszcze bym <span style='color:rgb(0, 180, 250)'>pospała</span> </h6></i></p>"
46,postarać,próbować,to try,a my postaramy się na nie odpowiedzieć,"<h4 style='color:rgb(0, 180, 250)'>postarać</h4>    <p><i><h6>a my <span style='color:rgb(0, 180, 250)'>postaramy</span> się na nie odpowiedzieć </h6></i></p>",<h3>to try</h3>,"<p><i><h6>a my <span style='color:rgb(0, 180, 250)'>postaramy</span> się na nie odpowiedzieć </h6></i></p>"
47,postawić,umieścić,to put,i bezpośrednio po nim postawić orzeczenie,"<h4 style='color:rgb(0, 180, 250)'>postawić</h4>    <p><i><h6>i bezpośrednio po nim <span style='color:rgb(0, 180, 250)'>postawić</span> orzeczenie </h6></i></p>",<h3>to put</h3>,"<p><i><h6>i bezpośrednio po nim <span style='color:rgb(0, 180, 250)'>postawić</span> orzeczenie </h6></i></p>"
48,powiedzieć,powiedzieć,to say,w których nasz rozmówca może nam dużo powiedzieć,"<h4 style='color:rgb(0, 180, 250)'>powiedzieć</h4>    <p><i><h6>w których nasz rozmówca może nam dużo <span style='color:rgb(0, 180, 250)'>powiedzieć</span> </h6></i></p>",<h3>to say</h3>,"<p><i><h6>w których nasz rozmówca może nam dużo <span style='color:rgb(0, 180, 250)'>powiedzieć</span> </h6></i></p>"
49,poznać,poznać,to get to know,"Poznajemy to po intonacji tego zdania,","<h4 style='color:rgb(0, 180, 250)'>poznać</h4>    <p><i><h6><span style='color:rgb(0, 180, 250)'>Poznajemy</span> to po intonacji tego zdania, </h6></i></p>",<h3>to get to know</h3>,"<p><i><h6><span style='color:rgb(0, 180, 250)'>Poznajemy</span> to po intonacji tego zdania, </h6></i></p>"
50,poćwiczyć,ćwiczenie,to exercise,żeby poćwiczyć zadawanie pytań w języku polskim,"<h4 style='color:rgb(0, 180, 250)'>poćwiczyć</h4>    <p><i><h6>żeby <span style='color:rgb(0, 180, 250)'>poćwiczyć</span> zadawanie pytań w języku polskim </h6></i></p>",<h3>to exercise</h3>,"<p><i><h6>żeby <span style='color:rgb(0, 180, 250)'>poćwiczyć</span> zadawanie pytań w języku polskim </h6></i></p>"
51,połowa,połowa,half,"Tydzień, połowę ferii","<h4 style='color:rgb(0, 180, 250)'>połowa</h4>    <p><i><h6>Tydzień, <span style='color:rgb(0, 180, 250)'>połowę</span> ferii </h6></i></p>",<h3>half</h3>,"<p><i><h6>Tydzień, <span style='color:rgb(0, 180, 250)'>połowę</span> ferii </h6></i></p>"
52,prank,wybryk,prank,"To jest prank, tak","<h4 style='color:rgb(0, 180, 250)'>prank</h4>    <p><i><h6>To jest <span style='color:rgb(0, 180, 250)'>prank,</span> tak </h6></i></p>",<h3>prank</h3>,"<p><i><h6>To jest <span style='color:rgb(0, 180, 250)'>prank,</span> tak </h6></i></p>"
53,przecież,już,yet/after all,"A przecież komunikowanie się to nic innego,","<h4 style='color:rgb(0, 180, 250)'>przecież</h4>    <p><i><h6>A <span style='color:rgb(0, 180, 250)'>przecież</span> komunikowanie się to nic innego, </h6></i></p>",<h3>yet/after all</h3>,"<p><i><h6>A <span style='color:rgb(0, 180, 250)'>przecież</span> komunikowanie się to nic innego, </h6></i></p>"
54,przekonać,przekonać,to convince,o czym przekonacie się już za chwilę,"<h4 style='color:rgb(0, 180, 250)'>przekonać</h4>    <p><i><h6>o czym <span style='color:rgb(0, 180, 250)'>przekonacie</span> się już za chwilę </h6></i></p>",<h3>to convince</h3>,"<p><i><h6>o czym <span style='color:rgb(0, 180, 250)'>przekonacie</span> się już za chwilę </h6></i></p>"
55,przyjemność,przyjemność,pleasure, Jakieś przyjemności,"<h4 style='color:rgb(0, 180, 250)'>przyjemność</h4>    <p><i><h6> Jakieś <span style='color:rgb(0, 180, 250)'>przyjemności</span> </h6></i></p>",<h3>pleasure</h3>,"<p><i><h6> Jakieś <span style='color:rgb(0, 180, 250)'>przyjemności</span> </h6></i></p>"
56,pytający,pytający,questioning,Zaczynamy od zaimka pytającego,"<h4 style='color:rgb(0, 180, 250)'>pytający</h4>    <p><i><h6>Zaczynamy od zaimka <span style='color:rgb(0, 180, 250)'>pytającego</span> </h6></i></p>",<h3>questioning</h3>,"<p><i><h6>Zaczynamy od zaimka <span style='color:rgb(0, 180, 250)'>pytającego</span> </h6></i></p>"
57,reakcja,reakcja,reaction,Chciałam zobaczyć twoją reakcję,"<h4 style='color:rgb(0, 180, 250)'>reakcja</h4>    <p><i><h6>Chciałam zobaczyć twoją <span style='color:rgb(0, 180, 250)'>reakcję</span> </h6></i></p>",<h3>reaction</h3>,"<p><i><h6>Chciałam zobaczyć twoją <span style='color:rgb(0, 180, 250)'>reakcję</span> </h6></i></p>"
58,rodzaj,rodzaj,type/kind,"Ten rodzaj zdań z ""czy"" na początku,","<h4 style='color:rgb(0, 180, 250)'>rodzaj</h4>    <p><i><h6>Ten <span style='color:rgb(0, 180, 250)'>rodzaj</span> zdań z ""czy"" na początku, </h6></i></p>",<h3>type/kind</h3>,"<p><i><h6>Ten <span style='color:rgb(0, 180, 250)'>rodzaj</span> zdań z ""czy"" na początku, </h6></i></p>"
59,rozczarować się,zawieść,to disappoint,Nie rozczarowałam się,"<h4 style='color:rgb(0, 180, 250)'>rozczarować</h4>    <p><i><h6>Nie <span style='color:rgb(0, 180, 250)'>rozczarowałam</span> się </h6></i></p>",<h3>to disappoint</h3>,"<p><i><h6>Nie <span style='color:rgb(0, 180, 250)'>rozczarowałam</span> się </h6></i></p>"
60,tryb rozkazujący,pilny,imperative,to możemy oczywiście użyć trybu rozkazującego…,"<h4 style='color:rgb(0, 180, 250)'>rozkazujący</h4>    <p><i><h6>to możemy oczywiście użyć trybu <span style='color:rgb(0, 180, 250)'>rozkazującego…</span> </h6></i></p>",<h3>imperative</h3>,"<p><i><h6>to możemy oczywiście użyć trybu <span style='color:rgb(0, 180, 250)'>rozkazującego…</span> </h6></i></p>"
61,rozmówca,rozmówca,caller/interlocutor,w których nasz rozmówca może nam dużo powiedzieć,"<h4 style='color:rgb(0, 180, 250)'>rozmówca</h4>    <p><i><h6>w których nasz <span style='color:rgb(0, 180, 250)'>rozmówca</span> może nam dużo powiedzieć </h6></i></p>",<h3>caller/interlocutor</h3>,"<p><i><h6>w których nasz <span style='color:rgb(0, 180, 250)'>rozmówca</span> może nam dużo powiedzieć </h6></i></p>"
62,rozstrzygający,decydujący,decisive/conclusive,"pytań rozstrzygających, a zadawać te otwarte,","<h4 style='color:rgb(0, 180, 250)'>rozstrzygający</h4>    <p><i><h6>pytań <span style='color:rgb(0, 180, 250)'>rozstrzygających,</span> a zadawać te otwarte, </h6></i></p>",<h3>decisive/conclusive</h3>,"<p><i><h6>pytań <span style='color:rgb(0, 180, 250)'>rozstrzygających,</span> a zadawać te otwarte, </h6></i></p>"
63,scenariusz,scenariusz,scenario,Czy my mamy jakiś scenariusz na dzisiaj,"<h4 style='color:rgb(0, 180, 250)'>scenariusz</h4>    <p><i><h6>Czy my mamy jakiś <span style='color:rgb(0, 180, 250)'>scenariusz</span> na dzisiaj </h6></i></p>",<h3>scenario</h3>,"<p><i><h6>Czy my mamy jakiś <span style='color:rgb(0, 180, 250)'>scenariusz</span> na dzisiaj </h6></i></p>"
64,sen,marzenie,dream," Miałam jakiś taki sen,","<h4 style='color:rgb(0, 180, 250)'>sen</h4>    <p><i><h6> Miałam jakiś taki <span style='color:rgb(0, 180, 250)'>sen,</span> </h6></i></p>",<h3>dream</h3>,"<p><i><h6> Miałam jakiś taki <span style='color:rgb(0, 180, 250)'>sen,</span> </h6></i></p>"
65,serdecznie,serdecznie,heartily,Bardzo serdecznie dziękujemy Wam za uwagę,"<h4 style='color:rgb(0, 180, 250)'>serdecznie</h4>    <p><i><h6>Bardzo <span style='color:rgb(0, 180, 250)'>serdecznie</span> dziękujemy Wam za uwagę </h6></i></p>",<h3>heartily</h3>,"<p><i><h6>Bardzo <span style='color:rgb(0, 180, 250)'>serdecznie</span> dziękujemy Wam za uwagę </h6></i></p>"
66,spojrzeć,popatrz,to look at,Spójrzcie jeszcze raz,"<h4 style='color:rgb(0, 180, 250)'>spojrzeć</h4>    <p><i><h6><span style='color:rgb(0, 180, 250)'>Spójrzcie</span> jeszcze raz </h6></i></p>",<h3>to look at</h3>,"<p><i><h6><span style='color:rgb(0, 180, 250)'>Spójrzcie</span> jeszcze raz </h6></i></p>"
67,spokojnie,zrelaksować się,relax,"Nie, spokojnie","<h4 style='color:rgb(0, 180, 250)'>spokojnie</h4>    <p><i><h6>Nie, <span style='color:rgb(0, 180, 250)'>spokojnie</span> </h6></i></p>",<h3>relax</h3>,"<p><i><h6>Nie, <span style='color:rgb(0, 180, 250)'>spokojnie</span> </h6></i></p>"
68,sprawa,rzecz,matter/case,"W języku polskim zadawanie pytań to bardzo prosta sprawa,","<h4 style='color:rgb(0, 180, 250)'>sprawa</h4>    <p><i><h6>W języku polskim zadawanie pytań to bardzo prosta <span style='color:rgb(0, 180, 250)'>sprawa,</span> </h6></i></p>",<h3>matter/case</h3>,"<p><i><h6>W języku polskim zadawanie pytań to bardzo prosta <span style='color:rgb(0, 180, 250)'>sprawa,</span> </h6></i></p>"
69,sprawdzać,sprawdzać,to check,i nie sprawdza się w każdym rodzaju zdań,"<h4 style='color:rgb(0, 180, 250)'>sprawdzać</h4>    <p><i><h6>i nie <span style='color:rgb(0, 180, 250)'>sprawdza</span> się w każdym rodzaju zdań </h6></i></p>",<h3>to check</h3>,"<p><i><h6>i nie <span style='color:rgb(0, 180, 250)'>sprawdza</span> się w każdym rodzaju zdań </h6></i></p>"
70,sprawić,robić,to make/cause,"sprawić wrażenie osób nie tylko miłych i empatycznych,","<h4 style='color:rgb(0, 180, 250)'>sprawić</h4>    <p><i><h6><span style='color:rgb(0, 180, 250)'>sprawić</span> wrażenie osób nie tylko miłych i empatycznych, </h6></i></p>",<h3>to make/cause</h3>,"<p><i><h6><span style='color:rgb(0, 180, 250)'>sprawić</span> wrażenie osób nie tylko miłych i empatycznych, </h6></i></p>"
