,polish,check,english,sentence,polish_html,english_html,sentence_html
44,lotniczy,powietrze,air,"stronę tanich linii lotniczych i sprawia, że klikając niektóre pola","<h4 style='color:rgb(0, 180, 250)'>lotniczy</h4>    <p><i><h6>stronę tanich linii lotniczych i sprawia, że klikając niektóre pola </h6></i></p>",<h3>air</h3>,"<p><i><h6>stronę tanich linii lotniczych i sprawia, że klikając niektóre pola </h6></i></p>"
45,megafon,megafon,megaphone,"i przysłuchiwać się tym zapowiedziom podawanym przez megafon,","<h4 style='color:rgb(0, 180, 250)'>megafon</h4>    <p><i><h6>i przysłuchiwać się tym zapowiedziom podawanym przez megafon, </h6></i></p>",<h3>megaphone</h3>,"<p><i><h6>i przysłuchiwać się tym zapowiedziom podawanym przez megafon, </h6></i></p>"
46,międzymiastowy,międzymiastowy,intercity,"na dalekie połączenia międzymiastowe,","<h4 style='color:rgb(0, 180, 250)'>międzymiastowy</h4>    <p><i><h6>na dalekie połączenia międzymiastowe, </h6></i></p>",<h3>intercity</h3>,"<p><i><h6>na dalekie połączenia międzymiastowe, </h6></i></p>"
47,najść ochota,natknąć się,to want/desire some,"albo naszła Was ochota na kawę w Warsie, to pamiętajcie,","<h4 style='color:rgb(0, 180, 250)'>najść ochota</h4>    <p><i><h6>albo naszła Was ochota na kawę w Warsie, to pamiętajcie, </h6></i></p>",<h3>to want/desire some</h3>,"<p><i><h6>albo naszła Was ochota na kawę w Warsie, to pamiętajcie, </h6></i></p>"
48,nakłaniać,spowodować,to persuade/induce,"różnymi promocjami, które tym bardziej nakłaniają do tego,","<h4 style='color:rgb(0, 180, 250)'>nakłaniać</h4>    <p><i><h6>różnymi promocjami, które tym bardziej nakłaniają do tego, </h6></i></p>",<h3>to persuade/induce</h3>,"<p><i><h6>różnymi promocjami, które tym bardziej nakłaniają do tego, </h6></i></p>"
49,napić się,drink,to drink/enjoy," Można tam się napić kawy, zjeść coś małego","<h4 style='color:rgb(0, 180, 250)'>napić się</h4>    <p><i><h6> Można tam się napić kawy, zjeść coś małego </h6></i></p>",<h3>to drink/enjoy</h3>,"<p><i><h6> Można tam się napić kawy, zjeść coś małego </h6></i></p>"
50,naprzeciwko,naprzeciwko,opposite,Trzy osoby siedzą naprzeciwko kolejnych trzech,"<h4 style='color:rgb(0, 180, 250)'>naprzeciwko</h4>    <p><i><h6>Trzy osoby siedzą naprzeciwko kolejnych trzech </h6></i></p>",<h3>opposite</h3>,<p><i><h6>Trzy osoby siedzą naprzeciwko kolejnych trzech </h6></i></p>
51,napój,drink,drink,i różne napoje z takiego wózka,"<h4 style='color:rgb(0, 180, 250)'>napój</h4>    <p><i><h6>i różne napoje z takiego wózka </h6></i></p>",<h3>drink</h3>,<p><i><h6>i różne napoje z takiego wózka </h6></i></p>
52,nazywać się,połączenie,to call,W polskich pociągach one się nazywają Warsami,"<h4 style='color:rgb(0, 180, 250)'>nazywać się</h4>    <p><i><h6>W polskich pociągach one się nazywają Warsami </h6></i></p>",<h3>to call</h3>,<p><i><h6>W polskich pociągach one się nazywają Warsami </h6></i></p>
53,niekoniecznie,niekoniecznie,not necessarily,"to najlepiej taką, do której Internet niekoniecznie jest potrzebny","<h4 style='color:rgb(0, 180, 250)'>niekoniecznie</h4>    <p><i><h6>to najlepiej taką, do której Internet niekoniecznie jest potrzebny </h6></i></p>",<h3>not necessarily</h3>,"<p><i><h6>to najlepiej taką, do której Internet niekoniecznie jest potrzebny </h6></i></p>"
54,niepełnosprawność,inwalidztwo,disability,"albo osobą z niepełnosprawnościami, przysługują Wam zniżki","<h4 style='color:rgb(0, 180, 250)'>niepełnosprawność</h4>    <p><i><h6>albo osobą z niepełnosprawnościami, przysługują Wam zniżki </h6></i></p>",<h3>disability</h3>,"<p><i><h6>albo osobą z niepełnosprawnościami, przysługują Wam zniżki </h6></i></p>"
55,niewyraźny,niewyraźny,indistinct/distorted,"bo one są bardzo, bardzo niewyraźne","<h4 style='color:rgb(0, 180, 250)'>niewyraźny</h4>    <p><i><h6>bo one są bardzo, bardzo niewyraźne </h6></i></p>",<h3>indistinct/distorted</h3>,"<p><i><h6>bo one są bardzo, bardzo niewyraźne </h6></i></p>"
56,obostrzenie,ograniczenie,restriction,"waszego rodzaju pupila, bo tam też często są jakieś obostrzenia","<h4 style='color:rgb(0, 180, 250)'>obostrzenie</h4>    <p><i><h6>waszego rodzaju pupila, bo tam też często są jakieś obostrzenia </h6></i></p>",<h3>restriction</h3>,"<p><i><h6>waszego rodzaju pupila, bo tam też często są jakieś obostrzenia </h6></i></p>"
57,obsługiwać,działać,to operate,"obsługują lokalni przewoźnicy, ale tych jest bardzo dużo,","<h4 style='color:rgb(0, 180, 250)'>obsługiwać</h4>    <p><i><h6>obsługują lokalni przewoźnicy, ale tych jest bardzo dużo, </h6></i></p>",<h3>to operate</h3>,"<p><i><h6>obsługują lokalni przewoźnicy, ale tych jest bardzo dużo, </h6></i></p>"
58,ochota,pragnienie,desire,"albo naszła Was ochota na kawę w Warsie, to pamiętajcie,","<h4 style='color:rgb(0, 180, 250)'>ochota</h4>    <p><i><h6>albo naszła Was ochota na kawę w Warsie, to pamiętajcie, </h6></i></p>",<h3>desire</h3>,"<p><i><h6>albo naszła Was ochota na kawę w Warsie, to pamiętajcie, </h6></i></p>"
59,odbywać się,odbywać się,to take place,"na specjalne wydarzenie, które odbywa się w innym mieście,","<h4 style='color:rgb(0, 180, 250)'>odbywać się</h4>    <p><i><h6>na specjalne wydarzenie, które odbywa się w innym mieście, </h6></i></p>",<h3>to take place</h3>,"<p><i><h6>na specjalne wydarzenie, które odbywa się w innym mieście, </h6></i></p>"
60,odjazd,wyjazd,departure,koniecznie rozglądajcie się za tablicą przyjazdów i odjazdów,"<h4 style='color:rgb(0, 180, 250)'>odjazd</h4>    <p><i><h6>koniecznie rozglądajcie się za tablicą przyjazdów i odjazdów </h6></i></p>",<h3>departure</h3>,<p><i><h6>koniecznie rozglądajcie się za tablicą przyjazdów i odjazdów </h6></i></p>
61,odjechać,wyjechać,to leave,"Dlatego jeżeli zastanawiacie się, z którego toru odjedzie wasz pociąg,","<h4 style='color:rgb(0, 180, 250)'>odjechać</h4>    <p><i><h6>Dlatego jeżeli zastanawiacie się, z którego toru odjedzie wasz pociąg, </h6></i></p>",<h3>to leave</h3>,"<p><i><h6>Dlatego jeżeli zastanawiacie się, z którego toru odjedzie wasz pociąg, </h6></i></p>"
62,odpowiedni,prawidłowy,right/appropriate,to musicie znaleźć odpowiednie połączenie i kupić na nie bilet,"<h4 style='color:rgb(0, 180, 250)'>odpowiedni</h4>    <p><i><h6>to musicie znaleźć odpowiednie połączenie i kupić na nie bilet </h6></i></p>",<h3>right/appropriate</h3>,<p><i><h6>to musicie znaleźć odpowiednie połączenie i kupić na nie bilet </h6></i></p>
63,oferować,oferta,to offer,"będzie chodził między pasażerami i oferował kawę, herbatę","<h4 style='color:rgb(0, 180, 250)'>oferować</h4>    <p><i><h6>będzie chodził między pasażerami i oferował kawę, herbatę </h6></i></p>",<h3>to offer</h3>,"<p><i><h6>będzie chodził między pasażerami i oferował kawę, herbatę </h6></i></p>"
64,okienko,okno,window,"więc pamiętajcie, żeby o to poprosić w okienku","<h4 style='color:rgb(0, 180, 250)'>okienko</h4>    <p><i><h6>więc pamiętajcie, żeby o to poprosić w okienku </h6></i></p>",<h3>window</h3>,"<p><i><h6>więc pamiętajcie, żeby o to poprosić w okienku </h6></i></p>"
65,opcja,opcja,option,No i poza Internetem i kasami jest jeszcze trzecia opcja,"<h4 style='color:rgb(0, 180, 250)'>opcja</h4>    <p><i><h6>No i poza Internetem i kasami jest jeszcze trzecia opcja </h6></i></p>",<h3>option</h3>,<p><i><h6>No i poza Internetem i kasami jest jeszcze trzecia opcja </h6></i></p>
66,opowiedzieć,powiedzieć,to tell/say,"żeby pokazać Wam trochę i opowiedzieć o tym,","<h4 style='color:rgb(0, 180, 250)'>opowiedzieć</h4>    <p><i><h6>żeby pokazać Wam trochę i opowiedzieć o tym, </h6></i></p>",<h3>to tell/say</h3>,"<p><i><h6>żeby pokazać Wam trochę i opowiedzieć o tym, </h6></i></p>"
67,opublikować,publikować,to publish,"na jakieś Wi-Fi na dworcu, żeby im go opublikować","<h4 style='color:rgb(0, 180, 250)'>opublikować</h4>    <p><i><h6>na jakieś Wi-Fi na dworcu, żeby im go opublikować </h6></i></p>",<h3>to publish</h3>,"<p><i><h6>na jakieś Wi-Fi na dworcu, żeby im go opublikować </h6></i></p>"
68,opóźnienie,opóźnienie,delay,więc często mają one opóźnienia,"<h4 style='color:rgb(0, 180, 250)'>opóźnienie</h4>    <p><i><h6>więc często mają one opóźnienia </h6></i></p>",<h3>delay</h3>,<p><i><h6>więc często mają one opóźnienia </h6></i></p>
69,opłacać się,płacić,to pay off,ale mimo wszystko to czasami bardziej opłaca się,"<h4 style='color:rgb(0, 180, 250)'>opłacać się</h4>    <p><i><h6>ale mimo wszystko to czasami bardziej opłaca się </h6></i></p>",<h3>to pay off</h3>,<p><i><h6>ale mimo wszystko to czasami bardziej opłaca się </h6></i></p>
70,oznaczać,mieć na myśli,to mean,"to wcale nie musi oznaczać, że wasz polski jest aż taki zły","<h4 style='color:rgb(0, 180, 250)'>oznaczać</h4>    <p><i><h6>to wcale nie musi oznaczać, że wasz polski jest aż taki zły </h6></i></p>",<h3>to mean</h3>,"<p><i><h6>to wcale nie musi oznaczać, że wasz polski jest aż taki zły </h6></i></p>"
71,oznaczony,wyraźny,marked,"będą oznaczone jako PKP Intercity, a te kasy, w których kupicie bilety","<h4 style='color:rgb(0, 180, 250)'>oznaczony</h4>    <p><i><h6>będą oznaczone jako PKP Intercity, a te kasy, w których kupicie bilety </h6></i></p>",<h3>marked</h3>,"<p><i><h6>będą oznaczone jako PKP Intercity, a te kasy, w których kupicie bilety </h6></i></p>"
72,pasażer,pasażer,passenger,"na przykład koło pasażera, który już ma kupiony bilet,","<h4 style='color:rgb(0, 180, 250)'>pasażer</h4>    <p><i><h6>na przykład koło pasażera, który już ma kupiony bilet, </h6></i></p>",<h3>passenger</h3>,"<p><i><h6>na przykład koło pasażera, który już ma kupiony bilet, </h6></i></p>"
73,patrzeć,popatrz,to look/watch/stare,"to wtedy patrzcie na te numerki, które napisane są nad siedzeniami,","<h4 style='color:rgb(0, 180, 250)'>patrzeć</h4>    <p><i><h6>to wtedy patrzcie na te numerki, które napisane są nad siedzeniami, </h6></i></p>",<h3>to look/watch/stare</h3>,"<p><i><h6>to wtedy patrzcie na te numerki, które napisane są nad siedzeniami, </h6></i></p>"
74,państwowy,państwo,public/national,"Punktualność nie jest mocną stroną Polskich Kolei Państwowych,","<h4 style='color:rgb(0, 180, 250)'>państwowy</h4>    <p><i><h6>Punktualność nie jest mocną stroną Polskich Kolei Państwowych, </h6></i></p>",<h3>public/national</h3>,"<p><i><h6>Punktualność nie jest mocną stroną Polskich Kolei Państwowych, </h6></i></p>"
75,peron,platforma,train platform,"My, zaopatrzone w drożdżówki, ruszamy na peron","<h4 style='color:rgb(0, 180, 250)'>peron</h4>    <p><i><h6>My, zaopatrzone w drożdżówki, ruszamy na peron </h6></i></p>",<h3>train platform</h3>,"<p><i><h6>My, zaopatrzone w drożdżówki, ruszamy na peron </h6></i></p>"
76,pieniądz,pieniądze,money,"Wszyscy inni, którzy nie mają ochoty wydawać pieniędzy","<h4 style='color:rgb(0, 180, 250)'>pieniądz</h4>    <p><i><h6>Wszyscy inni, którzy nie mają ochoty wydawać pieniędzy </h6></i></p>",<h3>money</h3>,"<p><i><h6>Wszyscy inni, którzy nie mają ochoty wydawać pieniędzy </h6></i></p>"
77,po prostu,po prostu,simply,"małych restauracji albo po prostu takiej poczekalni,","<h4 style='color:rgb(0, 180, 250)'>po prostu</h4>    <p><i><h6>małych restauracji albo po prostu takiej poczekalni, </h6></i></p>",<h3>simply</h3>,"<p><i><h6>małych restauracji albo po prostu takiej poczekalni, </h6></i></p>"
78,poczekalnia,poczekalnia,waiting room,"małych restauracji albo po prostu takiej poczekalni,","<h4 style='color:rgb(0, 180, 250)'>poczekalnia</h4>    <p><i><h6>małych restauracji albo po prostu takiej poczekalni, </h6></i></p>",<h3>waiting room</h3>,"<p><i><h6>małych restauracji albo po prostu takiej poczekalni, </h6></i></p>"
79,poczekać,czekać,to wait,"Jeżeli na polskim dworcu będziecie musieli poczekać na swój pociąg,","<h4 style='color:rgb(0, 180, 250)'>poczekać</h4>    <p><i><h6>Jeżeli na polskim dworcu będziecie musieli poczekać na swój pociąg, </h6></i></p>",<h3>to wait</h3>,"<p><i><h6>Jeżeli na polskim dworcu będziecie musieli poczekać na swój pociąg, </h6></i></p>"
